Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,2.0,62.144014606869796,92.55814218874815,9.019171516603903,14.48579442057181,21.57533960717179,18.16607323564592,8763.0,0.0,22.0,1.7411086826942181,1.462274985988738,
1,obj2-val2,2,0,1.0,67.20723112128147,37.8649885583524,7.316155606407323,15.666032195659222,8.826343831558018,14.73592317262213,10925.0,0.0,15.0,2.153982649842271,1.5053142928265737,
2,obj3-val3,3,0,1.0,14.03086014445174,42.9005252790545,5.182862770847012,3.270599057400679,10.000129435767555,10.439125643877526,6092.0,0.0,13.0,1.80610732285799,1.3893761229476134,
3,obj4-val4,4,0,3.0,25.387857353374596,85.76559583456135,4.691325277532174,5.917919605392404,19.991994361432273,9.449089465367704,10179.0,0.0,47.0,2.107453416149068,1.8187281662424164,
4,obj5-val5,5,0,6.0,64.99750420976666,62.861107770026464,14.557102477748376,15.15094397729571,14.652949120949613,29.320363763206768,33256.0,0.0,91.0,6.475077881619938,12.162265537819579,
5,obj6-val6,6,0,5.0,42.63956187868325,18.14107982618013,10.677004583606166,9.939298763771456,4.228692893300422,21.505217729371957,16799.0,0.0,18.0,2.415037377803335,1.849972781981828,
6,obj7-val7,7,0,1.0,34.205818786367416,86.07497921862011,8.71238570241064,7.973389908283717,20.06411175080545,17.54815688290418,6015.0,0.0,17.0,1.9052898321191003,1.6571351334098776,
7,obj8-val8,8,0,1.0,43.404422979156074,50.62023385866802,7.2144128113879,10.117588189258893,11.799596563509958,14.530996693275377,7868.0,0.0,11.0,2.4695543000627747,1.5244266253195244,
8,obj9-val9,9,0,4.0,44.77928174634223,95.22517799859166,9.521633674986308,10.438068312481859,22.197026710879207,19.178113460239906,12781.0,0.0,29.0,2.3391288433382136,2.307283561337236,
9,obj10-val10,10,0,1.0,86.99679066374908,66.99883296863604,13.99051787016776,20.27898636380144,15.617454503729501,28.179170533146678,6855.0,0.0,15.0,1.6549975857073878,1.6552691181958015,
10,obj11-val11,11,0,38.0,49.083796055295274,71.04699519925964,15.178090115102089,11.441452302949228,16.561082723195295,30.571133512715424,69156.0,0.0,67.0,12.501084598698482,14.426686043680661,
11,obj12-val12,12,0,1.0,96.65184179256492,38.71447971481921,12.469699541673739,22.52958260636661,9.024360556620254,25.115995929728353,5891.0,0.0,12.0,2.0023793337865397,1.799635701608828,
12,obj13-val13,13,0,3.0,76.89940160325166,86.52207293666027,12.946821722931015,17.925280974147924,20.168329473577785,26.076997333362204,8857.0,0.0,29.0,1.8329884105960266,1.8057282325632524,
13,obj14-val14,14,0,3.0,68.47227261970498,20.349530646051907,14.506586731876627,15.960913870034172,4.743483654196473,29.218616863575235,12677.0,0.0,12.0,2.5507042253521126,1.74989420001668,
14,obj15-val15,15,0,1.0,23.527020855533568,60.65261074745015,13.336733140508448,5.484157880654362,14.13814759018483,26.862342124076783,6569.0,0.0,33.0,2.2215082854244166,2.3440472552532485,
