Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,53.0,90.466626081336,177.9097502499004,11.779027906172729,19.581516558402477,38.508595615001035,23.72487131377038,133053.0,0.0,125.0,16.81023373341756,11.63536526828479,
1,obj2-val2,2,0,55.0,85.85707652582316,146.1166075967972,14.187334440127872,18.58377877533428,31.62696449563478,28.575591004506148,299363.0,0.0,181.0,33.067822821164256,23.09362573958021,
2,obj3-val4,4,0,19.0,51.82719298245614,130.22597202465624,9.197392128971076,11.218004710920221,28.187433731000542,18.525038434434247,84360.0,0.0,105.0,17.47669359850839,16.953081985786266,
3,obj4-val5,5,0,15.0,31.8017254592831,169.5335566795857,10.786135014999234,6.88348886921953,36.69556709610792,21.72502410574194,45669.0,0.0,81.0,9.356484326982176,9.040320850508206,
4,obj5-val6,6,0,92.0,67.48097427743319,170.11046808673188,12.442703185358145,14.60626832709196,36.82043966802861,25.06162089261748,418854.0,0.0,199.0,45.27172503242542,40.25429233479111,
5,obj6-val7,7,0,39.0,80.02328357014743,191.11975169525994,7.837548424091694,17.32105330066972,41.36790266825914,15.786092813276722,149977.0,0.0,134.0,23.21625386996904,17.532253661797952,
6,obj7-val8,8,0,12.0,114.83477803893486,180.18110891020496,14.066342883212732,24.856007182451876,39.00023158224531,28.331894398917825,173161.0,0.0,159.0,25.657282560379315,20.578843044628314,
7,obj8-val9,9,0,5.0,65.56425855513308,193.01596958174906,4.2399910534556025,14.191394883926016,41.77833935138738,8.540029187133227,22355.0,0.0,39.0,8.16173786053304,7.155053844508602,
8,obj9-val10,10,0,41.0,111.14616232577747,103.35423698191464,16.961991144533673,24.057605685751465,22.371042123565477,34.16419931550445,381911.0,0.0,163.0,36.00216817496229,25.080891005501872,
9,obj10-val11,11,0,27.0,78.73131624797563,120.40155579605026,9.468174107930952,17.041406754668586,26.0609371721024,19.070437227618577,260574.0,0.0,183.0,37.071276141698675,36.928936376081424,
10,obj11-val12,12,0,18.0,27.941361056537875,123.38351342501637,9.844711853307139,6.047912339529336,26.706382406630727,19.828845274953775,36648.0,0.0,59.0,7.556288659793815,7.019008060885107,
11,obj12-val13,13,0,3.0,34.67142512950247,77.72262378026744,9.252921334778943,7.504635849538228,16.82307509895938,18.63688325494419,16602.0,0.0,47.0,6.206355140186916,6.1710864633871525,
12,obj13-val14,14,0,44.0,81.65686169488448,146.29449593754256,17.219347283373427,17.67464156282314,31.665468457158894,34.68255629066556,550775.0,0.0,241.0,59.15950590762621,39.364049940634615,
13,obj14-val15,15,0,22.0,108.09770881318948,150.6589889683598,15.135116469581254,23.39776740593551,32.610163713895254,30.484577625592422,272217.0,0.0,112.0,28.489481946624803,18.46863856711924,
