Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,59.72631783699669,76.05076833300915,6.092783505154639,13.922228345846559,17.727464222704388,12.271853480091155,42,44,0,84,99,13,33712.0,0.15249762695775984,562.636679906001,5141,808.1159294657807,5230.0,3995.7733999999996,0.020895006693126588,0.2754322129934517,0.04685382238284386,0.36050808500329556,0.06784025223330792,0.40784600021597583,0.8815242082231167,17.871293821770198,3.869069175657493,1.243015229127458,1284.8935074502888,0.4378858455145309,NaN,NaN,NaN,NaN,
1,obj2-val2,2,0,63.12154696132597,58.49171270718232,5.433394720687538,14.713657599603444,13.634441401050474,10.943737596349395,39,33,0,90,89,13,41496.0,0.0785135916714864,356.5590941711245,3258,641.3688713079148,4866.0,3538.9120000000003,0.010419292248204757,0.218413796183471,0.02708602301263878,0.3003182659869851,0.05449940687760295,0.37913831865933495,0.8054030088767192,18.218184867190747,3.2845926968948502,1.4667095081450625,1600.6513639319658,0.22275874822312633,0.880875722181921,16.748258608945832,7.832876633717662,4.509577493841844,
2,obj3-val3,3,0,76.96557534906114,83.04309099662976,5.436687530091478,17.94070610050803,19.357377405305822,10.950369848177946,49,62,0,102,110,12,34398.0,0.12076283504854933,454.618317123036,4154,774.6273167589095,5500.0,3974.9641666666666,0.011729980479333714,0.22721294634061015,0.031073180228096048,0.3143850612554182,0.05028839897868073,0.36911047418980675,0.8310253808588771,18.1065061207658,3.058001230791301,1.638550707394525,1622.7714480320576,0.28014931965579853,NaN,NaN,NaN,NaN,
3,obj4-val4,4,0,77.39455574246827,55.4307998164857,7.122342865881634,18.040701600133584,12.920941393778529,14.345552900595564,54,30,1,101,73,14,29568.0,0.22115124458874458,715.6353335742735,6539,893.0525224080882,5372.0,3958.720266666667,0.031193710422799826,0.3147913915291326,0.07794901018139935,0.42717274441694764,0.08132141361102134,0.4332467727970628,0.9118399413790836,16.83425268185344,4.006793611611959,1.1660233581393598,1067.502540432119,0.6703827920489898,1.9919361933991382,14.814640347668373,8.085297230773143,3.8503244624265878,
4,obj5-val5,5,0,39.04264139769026,59.91530944625407,6.5247260882440035,9.1008551748848,13.966282364825448,13.141855850436373,19,33,1,63,87,11,27225.0,0.12404040404040403,369.58258471942526,3377,597.4603066887119,4226.0,3077.504133333334,0.017089368577236853,0.257578293314936,0.0442505384898104,0.35370363251424736,0.07243495554239245,0.4168531740046196,0.8479511524936909,13.322548508834583,2.7428550272416117,1.739170169528278,757.0119471906353,0.488212353967453,1.0571144765494747,11.455330940943332,6.335052862702057,2.779377754356577,
5,obj6-val6,6,0,59.05786445012788,97.71994884910485,7.095907928388747,13.766411596588037,22.778558784331285,14.29230865198676,37,65,1,77,117,13,28249.0,0.11072958334808312,342.3317515553338,3128,609.7728227808799,4040.0,3006.5618999999997,0.016781924654100697,0.256024296041892,0.040716966367114055,0.3440264265773841,0.058457810512656895,0.3881038277881943,0.8423365688033732,17.080318449964462,3.251347757029033,1.5640088967389723,1262.4390307992428,0.2711669579311134,NaN,NaN,NaN,NaN,
6,obj7-val7,7,0,28.39954633830201,92.6296176279974,4.974724562540506,6.619945500731588,21.59200056037275,10.019901557910055,0,61,1,56,126,11,41382.0,0.07457348605673965,337.73522547946294,3086,614.8920438591596,4394.0,3140.1610333333333,0.012695916550432227,0.23328598668534983,0.03478471558137333,0.3264345753772237,0.055489201001695174,0.3814198072908859,0.81894151730127,15.927956587699038,2.4258558684422815,1.6291994698194214,1765.487025783298,0.19129861649910407,0.1368198810015027,14.625070696220948,7.520349461318172,3.324225773420894,
7,obj8-val8,8,0,38.52554980595084,30.357697283311772,7.716364812419147,8.98032092002648,7.076391261651646,15.542009378279303,12,1,1,60,51,13,32487.0,0.09517653215132207,338.39187206173017,3092,624.0836747540974,4120.0,2931.4629999999997,0.015461075319234996,0.24912300596718898,0.04292181643602877,0.3501273453232401,0.05327994319673397,0.3762891322950391,0.8352546602710312,19.1562526114384,4.170648208393797,1.3585501515509664,1246.0557143989984,0.2715704186830397,NaN,NaN,NaN,NaN,
8,obj9-val9,9,0,40.31530467642891,16.651157298063296,7.272083136513935,9.397513489270253,3.881391361826896,14.64715407511853,9,1,1,77,41,13,36777.0,0.11512630176468988,463.37360488659954,4234,814.0590690605092,5156.0,3743.1347666666666,0.01479160684000683,0.24547412930119641,0.03865873955636504,0.33812911152460234,0.04501395781487333,0.3557264694783392,0.8495536885795331,18.21096594609252,3.559880893708777,1.3637334791813758,1463.818047146012,0.31655136769903425,NaN,NaN,NaN,NaN,
9,obj10-val10,10,0,42.99289520426288,109.54588513913558,7.571343990526939,10.021660901922049,25.535189217879545,15.249913938433473,26,74,1,61,130,13,26676.0,0.1266306792622582,369.69202581646977,3378,618.6331963783155,3928.0,2807.5859666666665,0.021293998865192815,0.27717430428414735,0.05831395199336682,0.38778483835620875,0.06528792663394112,0.40266574669104643,0.8637641880229828,16.71709732702335,3.0859154571232015,1.6896269489871174,1216.2205171430617,0.3039679240775245,0.9009691562399533,15.658655169441442,7.880455872985622,4.034432541107859,
