Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,15.912503784438389,72.90190735694823,5.432939751740841,4.305326451064011,19.724520686922478,10.9428212151507,0,39,0,34,103,10,25025.0,0.131988011988012,487.0102741196936,3303,751.2457073621817,3818.0,2860.619233333334,0.022169798643750075,0.28092332558138633,0.05270955600519066,0.3749411605583514,0.0632677820356988,0.3984690577629969,0.8654604456403624,14.52997748477989,1.95633631492553,2.4826078954040383,1352.3473254103988,0.3601221853061305,NaN,NaN,NaN,NaN,
1,obj2-val2,2,0,72.64111261872456,46.941316146540025,4.3276797829036635,19.653959416365502,12.700558805277273,8.716648500577,53,15,0,90,70,8,19152.0,0.1539264828738513,434.66735940201534,2948,691.5451418698802,4330.0,3078.8838333333333,0.012107197941272211,0.22962289421292936,0.03367653669504493,0.3229305562929024,0.06461075662687989,0.4012687498053152,0.8118186596038628,12.99379039904338,2.351690606290163,1.3449881443379672,1235.4276980706034,0.3518355303842108,0.849066357950012,11.411510287045688,6.419152060305149,2.346068289433718,
2,obj3-val3,3,0,44.32594801874734,72.3988069876438,2.7771623348956114,11.99293832440315,19.588400604448424,5.593655056910116,27,58,0,65,91,7,10608.0,0.22124811463046756,346.05301645743896,2347,522.8678127651943,3044.0,2201.2746,0.022087400615289823,0.28057485990428194,0.05840578769793337,0.38798829918733146,0.09474622782140435,0.4558839653851266,0.8476192776766311,9.142731681848943,2.2048343562092256,1.095242221751938,601.2490437074068,0.5755568679554407,0.46996772505732753,9.800802595321242,4.843785925406355,1.9165127110500693,
3,obj4-val4,4,0,47.173492421799416,37.12479845211222,4.4801676878426315,12.763376993585346,10.044577455033117,9.023783855922206,26,14,0,63,54,10,17138.0,0.18094293383125218,457.2264184211837,3101,660.8316598239259,3614.0,2731.4708,0.02304047675332036,0.2845537846683729,0.053366192618496344,0.37649170010984595,0.08192991057662961,0.43432469412064834,0.8650848087876586,12.60067450795607,2.865206841517975,1.0576560371805432,965.1916503983954,0.4737156794015547,NaN,NaN,NaN,NaN,
4,obj5-val6,6,0,39.16674769081186,44.67622751579971,4.0281964025279535,10.597052300487732,12.087710813029345,8.113440433101141,18,24,0,67,64,8,18450.0,0.11149051490514905,303.29401570215254,2057,553.9064548214524,3584.0,2545.124933333334,0.010394819533962414,0.21824265968932188,0.0290264310407778,0.30732499276793884,0.06121682168667273,0.3941159370176421,0.7701677985863244,12.731663253741583,1.8560096990879007,1.699033417626767,1477.0038045511583,0.20534409916047544,NaN,NaN,NaN,NaN,
5,obj6-val8,8,0,19.98446170921199,63.95144284128746,5.432297447280799,5.407045476469178,17.302860830585534,10.941527509865328,0,41,0,40,92,13,29848.0,0.1207451085499866,531.3911680070771,3604,930.3512170203642,5878.0,4243.327333333333,0.007233245289223808,0.1933949418684718,0.019226593023610957,0.2678967497102701,0.039658861909467984,0.3410205492852416,0.7789803389471961,18.85739187062884,3.2060391611896097,1.3982066323560793,1954.4495423980745,0.2718878929742385,NaN,NaN,NaN,NaN,
6,obj7-val9,9,0,67.14103585657371,86.92788844621514,3.0888446215139442,18.16584501980347,23.519424883256384,6.221433698722021,48,54,0,90,109,6,16856.0,0.14890840056953014,370.0865237785137,2510,611.1353614144202,3992.0,2927.915166666667,0.011200262944861528,0.22373987431567044,0.028387317057973593,0.30505263646951775,0.06786512840092995,0.4078958447411428,0.7933000812929821,10.41867397411335,1.4261496391813728,1.5116123334880025,1540.8320836063501,0.24018614858558654,NaN,NaN,NaN,NaN,
7,obj8-val10,10,0,51.80142037694619,62.37284894837476,6.257306746790494,14.01552064796093,16.875752555564,12.603229954196419,28,44,0,88,78,13,29890.0,0.1224824355971897,539.7955233279438,3661,811.2242702398448,4676.0,3487.5155666666665,0.014826147749501833,0.24566505514085346,0.03573578831622678,0.3293829556623356,0.06172884119054184,0.39521168615136315,0.8417405225880432,18.843885098314644,3.4497960629061826,1.506006627230422,1563.8179830323304,0.34517797415352014,1.508555516176699,16.131082122583834,8.896297729414407,4.003214966664791,
8,obj9-val12,12,0,43.68640687327401,88.67934949370972,7.236882479288125,11.819902487463219,23.99330452394254,14.576254246245146,31,76,1,58,103,13,10192.0,0.31976059654631084,480.52270159130524,3259,681.7832072217191,2882.0,2078.2661000000003,0.050180983053196036,0.3688474806864882,0.13381895483739029,0.5114924306916451,0.08240267182123603,0.435158488089655,0.9142800338633494,16.218286973169356,4.860082570789228,1.1259262685526086,671.9025403117192,0.7151672642409922,1.7774672187023162,12.921519421394146,7.42949392431395,3.5471073746850386,
9,obj10-val14,14,0,66.93240997229917,16.290858725761773,5.759002770083103,18.10939868363215,4.407695101455998,11.599564981441956,50,1,3,80,32,10,7936.0,0.2274445564516129,266.13791849411047,1805,448.8183915765869,2548.0,1896.3663999999999,0.022274528251426014,0.28136498879374755,0.05403062986897588,0.3780477666766274,0.08860412683659619,0.44581191096970235,0.8331555867601771,9.288298617660777,1.8856625725104121,1.916603308318747,492.5347772039449,0.5403434047945618,0.49208517971377624,9.831899806310881,4.536470615823795,1.943990005389405,
10,obj11-val15,15,0,50.78466076696165,16.06588003933137,5.43952802359882,13.740423648611216,4.346824310615294,10.956091062480695,40,0,3,61,26,8,3564.0,0.28535353535353536,149.95139230388384,1017,280.1413084835908,1494.0,1032.6648,0.03507861895573707,0.3273517351530552,0.10622241189298567,0.4735931215738339,0.11567031548633386,0.4872377761203577,0.8385470892530583,8.933114521778402,2.3477289539304103,1.5383880740373863,352.1563115309339,0.4258091858470408,0.8873748587063868,7.2457005595970685,4.789794100101202,1.3573480752043714,
11,obj12-val16,16,0,29.191634980988592,38.94524714828897,7.887072243346007,7.898161089919976,10.537122564880605,15.885841811932146,1,16,3,56,67,13,32032.0,0.08210539460539461,387.7799034013909,2630,646.7762353743113,3190.0,2331.8996333333334,0.0240986004523707,0.28884475098640244,0.06169277533607375,0.39513433520098973,0.06285803598023809,0.3976069828485065,0.8601606187115611,17.850550605142878,3.9313662659180024,1.4253547288988673,1081.5172814203802,0.3585517402848257,0.23375946624910338,12.818944646309383,7.730950030378218,3.3846726494434134,
12,obj13-val17,17,0,19.204386374241718,44.454503033131125,6.94447036864209,5.195986361010896,12.02772048762153,13.987288862095776,0,26,3,45,62,11,15318.0,0.13990077033555295,315.9742710985478,2143,516.8161956005254,2884.0,2157.3413666666665,0.021652644591487066,0.2787217567423752,0.05172971697717662,0.3726033032760645,0.08179890130525175,0.43409306987765467,0.840929564314115,10.292325941882531,1.8255785989002,1.3114093691817963,1044.9363272612875,0.3023861481844511,0.17518404048933925,11.044401755038823,5.359630536095389,2.4020367288635933,
13,obj14-val18,18,0,29.741038771031455,75.72348207754206,7.722750548646672,8.046809140637146,20.48793293447249,15.554871286023177,18,54,5,45,98,10,7560.0,0.18082010582010583,201.55708287060887,1367,369.661227496445,2240.0,1617.1146666666666,0.01880378806180691,0.26591878907826605,0.04997662848785046,0.3683457399934529,0.09095714036868231,0.44972387739694974,0.7988779364230338,9.323132419373987,2.0378084602949484,1.7538795248254935,466.06626216692524,0.43246443527898965,0.5677546313439513,8.171627454932738,4.482046307209682,1.6509014961893744,
14,obj15-val19,19,0,42.74231088944306,105.06483790523691,8.229426433915211,11.564465538847648,28.426602867647578,16.575398639514493,26,98,5,55,110,12,3120.0,0.3855769230769231,177.37613071934342,1203,344.0394394514416,1542.0,1097.1290333333334,0.04464064973073808,0.3547403736134928,0.12393971818073111,0.49858227481765516,0.08738120576956464,0.44375136019148914,0.8679794553392799,11.383741922107378,3.2860875531657414,1.9051257736927016,300.3736272310565,0.5905183233110552,0.7202531225452717,8.451295806278337,5.547705534801348,2.3328456780983675,
