Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,29.617741360883507,26.59921624510153,6.497328108300677,6.903907243031524,6.2002878428822985,13.086671878245252,10,3,0,52,45,15,29584.0,0.18976473769605193,614.4023188080704,5614,842.292405131519,4774.0,3561.938933333334,0.03276045659404741,0.3199758073733262,0.07887471107681994,0.4288570894434535,0.07144460039810811,0.4149446656347537,0.9094411936807548,21.06751912894108,4.577529059474717,1.3728454999753001,1361.5854264118834,0.45124037529336186,1.149127352294056,17.856112674947465,9.563818587028265,3.968140191294578,
1,obj2-val2,2,0,86.16955289672543,60.34603274559194,9.675535264483628,20.086156912633143,14.066684136513837,19.488096205411534,69,38,0,108,79,19,33600.0,0.18904761904761905,695.1698484269439,6352,944.6184879711798,4854.0,3591.1910666666668,0.039900104792944306,0.3417106215973595,0.09852758004423036,0.46186948713772524,0.064843269422169,0.4017495176874169,0.922447178262771,27.65563630771465,6.689275954055313,1.1422994078383228,1733.4103186911498,0.4010417158193955,NaN,NaN,NaN,NaN,
2,obj3-val3,3,0,88.30087897227857,85.56434527834122,9.15460897002479,20.582969865078827,19.945082777060502,18.4388662181459,51,67,0,118,111,19,61200.0,0.0725,485.590147586642,4437,809.352392900813,4886.0,3503.696466666667,0.019088457835691592,0.26725398361477454,0.051766857897007766,0.3726924558917642,0.050301292128633754,0.3691420161582543,0.8693742364143825,32.93035477577598,6.500050901510056,1.3991063998016038,2530.425518187953,0.1919005890892117,NaN,NaN,NaN,NaN,
3,obj4-val4,4,0,62.85504553057053,91.06764541906709,9.319085671808214,14.651536010531135,21.22790421976218,18.770148953445318,44,74,0,78,108,18,23275.0,0.2311922663802363,588.9025431966916,5381,819.2138165246827,3738.0,2659.2488666666663,0.06269897866175268,0.3972713288381841,0.17414115037733294,0.5584279361566381,0.07134235285300844,0.4147466227380922,0.9377352572344598,20.545924950567493,5.366145945768894,1.313997764450705,960.1654919358076,0.6133344180172463,1.1049000326173657,18.896835319569306,9.505446316679848,5.566803621155301,
4,obj5-val5,5,0,83.08321294423577,12.604160647211788,2.6041606472117884,19.36672984718539,2.938034839467671,5.245201618302259,58,0,0,107,28,5,8700.0,0.397816091954023,378.77563687116697,3461,454.65652456954064,2530.0,1891.9823666666666,0.08365540546706458,0.43735258253161097,0.20003422995608816,0.5848369087389909,0.17264983361225317,0.5568295942425177,0.9403313952908225,7.265246057486002,1.3240071123548518,2.1183788646733857,432.5689073360761,0.8756423091151221,1.9161160883366213,7.761412432469403,4.9728713252662295,1.092736048822884,
5,obj6-val6,6,0,90.00887003470883,91.76108754338604,9.224836097184728,20.981103258279397,21.389545853618557,18.58031503445545,68,78,0,116,105,19,27440.0,0.18899416909620992,567.5615292730055,5186,867.9872542999316,4330.0,3148.709633333333,0.03746741314887124,0.33461985899726165,0.09743602535492697,0.4601575159285906,0.055710650572123835,0.3819265308337379,0.913625911211585,26.25694751376515,5.321269360040617,1.9923847683592346,1344.0567204634922,0.42227498336326486,0.8332556459169229,20.53005308975172,11.988595438324204,5.934212316816516,
6,obj7-val7,7,0,113.35197505197505,55.213305613305614,9.191683991683991,26.422390284183198,12.870243408866164,18.513541320779694,97,35,0,122,74,19,20800.0,0.23125,526.411676784257,4810,791.1587832843582,4108.0,3040.942666666667,0.03774428661681764,0.3354420845021782,0.09305031118224635,0.4531471747382263,0.06328669847725382,0.39850876653610584,0.9116651035478301,28.763170546869517,6.8776865014873305,1.5780838458547704,1335.3159332544872,0.39422256836347686,NaN,NaN,NaN,NaN,
7,obj8-val8,8,0,60.5711792086889,64.38324282389449,9.080294802172226,14.119165866243941,15.007759404935365,18.289185439465676,45,43,0,80,84,19,30240.0,0.1705026455026455,564.278296361669,5156,867.6390980931925,4400.0,3216.753933333334,0.035295566871875655,0.32802519667002694,0.09032847305220637,0.44868500558384145,0.05513428206072458,0.380604858137288,0.9104731757703346,26.79168159602888,7.128777987900923,1.1425548155171183,1387.3348097677094,0.40673548475018073,0.21006611919497153,20.282715774088306,11.93418092586264,5.272849626238636,
8,obj9-val9,9,0,20.661991584852736,35.04468042476458,9.419955920657182,4.816318422799069,8.168928888473484,18.97331798338502,5,13,0,41,58,19,34040.0,0.14662162162162162,546.2205153493194,4991,892.6114222005513,4936.0,3526.8830666666668,0.023426211510174426,0.28613296607095035,0.06421763840460036,0.4004529003525559,0.047446159988614324,0.3620213061244224,0.8870777579845274,28.35016618129424,6.317604406762576,1.5738970339092198,1519.407417170843,0.35949575418447627,NaN,NaN,NaN,NaN,
9,obj10-val10,10,0,38.40552995391705,55.689496265692036,9.601620848561895,8.952344244976642,12.98124363856013,19.33922059191064,15,18,0,72,85,19,78880.0,0.07977941176470588,688.7128237013158,6293,1003.4203028582336,5600.0,4055.095733333333,0.025503733167427812,0.29435298871199683,0.06716832252473372,0.4064946500059333,0.053098231925941736,0.37586086740079216,0.9004599497534778,26.55529541534116,5.132412807728261,1.408848724210989,2113.6568245697426,0.32583947199730995,NaN,NaN,NaN,NaN,
10,obj11-val11,11,0,41.67699867699868,74.08183708183708,9.27102627102627,9.714924900180277,17.268505568147738,18.673349530941955,24,52,0,63,100,19,39200.0,0.13497448979591836,579.0528444626826,5291,926.6393216452635,5440.0,3957.8497333333335,0.019666686614740723,0.2699257403548789,0.05106813434575492,0.3710080481679685,0.04766028070592472,0.3625650794425363,0.879088945122888,29.23473120490291,6.718992598642431,1.270386674351357,1824.9108297473294,0.3173047334827073,NaN,NaN,NaN,NaN,
