Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,79.18709677419355,60.81304985337243,6.877565982404692,13.041333893641058,10.015309571078111,13.852532584544448,43,33,0,113,102,12,64610.0,0.10555641541557034,372.5752282676317,6820,636.7773954672097,9732.0,7286.879833333333,0.005707091322420296,0.17870595383316257,0.013595534918539027,0.2386705129787166,0.06080193644026176,0.39322357056800633,0.8045979137992588,18.01581670474,3.4923640312270514,1.1650522073984821,1723.7173442448275,0.21614635921114983,0.25041948382300716,14.211530458117522,7.5687695774594825,3.410124352784178,
1,obj2-val2,2,0,104.31882044156245,46.026246719160106,9.963872163038443,17.18028093198848,7.58006892268442,20.068853451910613,63,1,0,138,96,19,145920.0,0.04438733552631579,353.8372072565177,6477,667.3514553410048,6502.0,4701.103866666666,0.017260734487426092,0.25843639739540275,0.045666804963074605,0.35743757845534685,0.04764260885831703,0.3625202623859605,0.8798932968436809,30.11552483178624,5.0049518085828,2.223320504599917,2054.2723607638777,0.17224454459628902,NaN,NaN,NaN,NaN,
2,obj3-val3,3,0,80.23442726697405,102.18651116535575,9.870445710152788,13.21381889700329,16.82911062308303,19.88067743350992,45,63,0,123,140,20,129402.0,0.08547781332591459,604.2602052592778,11061,912.6321254379263,10110.0,7615.4836,0.013390219348013157,0.23746331239464746,0.0313291560900851,0.3152459860387056,0.05432667238660395,0.3787373386932278,0.8874951825406774,30.15472362660479,7.58670011829743,1.2678029810739477,1573.9721401377321,0.38390781504328364,NaN,NaN,NaN,NaN,
3,obj4-val4,4,0,60.759197583455965,50.0415149872202,9.808070637440942,10.006440633315261,8.24134400776089,19.755043927497077,27,24,0,101,92,20,108675.0,0.11880377271681619,705.3253331617879,12911,1161.8309617813238,13840.0,10358.2473,0.007111543409396664,0.19230415643879462,0.016963415873916306,0.2569435793616887,0.03587587492228097,0.32981316116662923,0.8579107381955817,26.979388252864712,5.066412302150688,1.573705205519829,2036.387589029564,0.34636104490202135,0.3886658485080054,20.914371180518103,11.653929522603555,6.016891746978711,
4,obj5-val5,5,0,82.15386429287273,127.56853150975653,10.750987443258857,13.529931245634307,21.0092790557057,21.65423119964016,47,96,0,107,154,20,75579.0,0.22444065150372458,926.6852781677179,16963,1164.5595808604542,11470.0,8814.1733,0.021565892891626318,0.2783490243503343,0.04752399507425989,0.3622187943894073,0.06149386111689991,0.39470957150798175,0.9232354809476135,27.400257941034063,7.343904790448745,1.0704051522389209,1492.6235008499903,0.620843285423288,0.5071937436820636,21.95026586566733,10.79325612265373,6.573907135679255,
5,obj6-val6,6,0,122.8571549391069,58.48046346414073,10.471498646820027,20.233361798229698,9.631155596795184,21.09129546487745,83,29,0,144,93,20,84630.0,0.13971404939146875,645.942741794205,11824,1020.8919465946645,10710.0,7876.033133333334,0.012871015196425273,0.23435356503538138,0.0323637331873617,0.31867857807651867,0.04435076191413002,0.3539708342413013,0.8880149906378518,25.898505952490215,6.433082633269902,1.0894936416327992,1613.800185521014,0.4002619082520819,0.9532558072322103,21.412687896116307,10.412345564806284,5.70881327137065,
6,obj7-val7,7,0,110.80615889564629,107.38082826527658,9.407857901341828,18.248681597086943,17.68456342295879,18.948950611671954,84,83,0,132,137,20,56595.0,0.18303737079247284,565.9100864551901,10359,869.1043300114223,7472.0,5557.5509,0.029092259309367246,0.30755750471774357,0.07070297573575014,0.41350353905198345,0.055173622836931016,0.38069536272025833,0.9220814675572211,26.425621511026225,8.493049360435247,1.2851994228211396,833.8086593267121,0.6787049764056827,1.3934418577930527,21.941017846691274,11.160922021435724,6.020754294566523,
7,obj8-val8,8,0,38.876018826770746,89.7893468028929,9.183216622661003,6.402496904528755,14.78741991372096,18.49648666720074,2,32,0,71,139,18,143640.0,0.06064466722361459,475.8801779236569,8711,834.285024127243,9692.0,7092.656366666666,0.009426450353127714,0.21124352378015643,0.024052578653323015,0.28866040359146156,0.04410666900864987,0.35332025782749693,0.8561747966479446,25.350212886850358,4.0565205006583795,1.7451092339472116,2376.3119594810387,0.20025997682037677,0.3712170915673863,20.09130709738667,10.813385174803468,6.436482678203052,
8,obj9-val9,9,0,108.47931034482758,93.70091277890467,7.786916835699797,17.865472588203932,15.43161625401159,15.684112588034193,67,56,0,145,119,20,106176.0,0.09286467751657625,538.6498168209456,9860,852.0955487716543,8754.0,6717.398433333335,0.016390287687553164,0.2540170027536183,0.036274620482825974,0.33103020715009235,0.053039633759433345,0.37572255242076946,0.8937059638704975,26.493778164217037,6.175208547111441,1.3885027123771865,1471.195149312633,0.3661307727072182,NaN,NaN,NaN,NaN,
9,obj10-val11,11,0,109.31230435829521,142.54153623886347,3.4139176498916446,18.00265848721489,23.475185270453892,6.876183464769945,92,125,0,125,157,7,8976.0,0.4626782531194296,226.87755469141854,4153,334.6613878720277,2636.0,1933.2785666666668,0.10649764834967326,0.4740021703235228,0.26995596440813063,0.6462952673929407,0.15531686482383383,0.5375346626358005,0.953535050593349,9.007306470216879,3.056314496742102,1.3145884120375606,249.28005091822598,0.9101312112851085,1.6151380410302407,7.408135514587456,5.098409645068295,1.8715746412333318,
10,obj11-val12,12,0,97.80590324763193,70.07916102841678,10.523934370771313,16.107667700695426,11.54134669899481,21.19690951154566,63,37,2,130,99,20,81396.0,0.14526512359329696,645.942741794205,11824,940.8816492656794,11174.0,8629.9514,0.011333269454973852,0.22462205011449446,0.024601192860640605,0.29083860655509775,0.05665463213246874,0.38407162558184155,0.8811743531962745,25.491458949003015,6.264115250399367,1.1520301643568358,1534.9326871654134,0.4208280579307217,NaN,NaN,NaN,NaN,
11,obj12-val16,16,0,48.080596151063524,120.4977571986688,12.26696570684416,7.918400014074999,19.844792258817268,24.70765712786862,25,91,5,66,144,18,31752.0,0.21765558075081884,377.5465399644579,6911,606.5528603380061,5608.0,4204.618166666666,0.030627400985770086,0.312874776805049,0.07266988487502807,0.41730298448228276,0.0722416068406811,0.41648194550951806,0.9126712154162463,16.739693372539993,4.3773253841178565,1.697729752442377,604.011020819226,0.6250656477300495,0.6775932759237657,14.852542256762833,7.5370702347360705,3.8325354271100767,
12,obj13-val17,17,0,47.738309016086795,90.84156378600824,13.5,7.862028698588357,14.960709673850653,27.191188040912635,17,62,5,85,110,18,47334.0,0.11294207123843326,292.050904738821,5346,492.6102547419486,5068.0,3728.0722,0.02483135756378271,0.2917431646182261,0.062381719078846376,0.39659975922161667,0.08069732529071431,0.43213563201302,0.8930756685423976,17.45105977370968,3.7270238222701475,1.815822538603064,882.5844399891307,0.3309042075820164,1.0083404622319543,17.881659136414108,7.976379484763979,4.584117947546201,
13,obj14-val19,19,0,49.36897717666948,39.18371372217526,12.747957171034095,8.130583662947384,6.45317121930736,25.67645189445102,21,19,6,101,64,20,55890.0,0.12699946323134728,387.76231235244137,7098,751.8450776791714,9460.0,6697.269066666667,0.0067305561895496125,0.18880683351878946,0.018968418439590982,0.2666922367614206,0.04001275771115544,0.3420319113854282,0.8205692804629309,19.689478735845654,4.072131744076193,1.578437432696108,1221.5752701424706,0.31742809618863455,NaN,NaN,NaN,NaN,
14,obj15-val20,20,0,80.98147620404674,144.3525220860644,9.012824166429182,13.33685048952443,23.773436779501544,18.153288643633893,59,130,6,101,166,12,11137.0,0.3150758732154081,191.6959642215718,3509,304.7036324215689,2924.0,2186.8690666666666,0.05570407989100283,0.38191151507177923,0.13315294162326913,0.5106424578334354,0.14690799054074152,0.5276534115646963,0.9217785229930204,7.383454908285741,2.0392374338680788,1.4161495667336186,286.3009278317052,0.6695611001800715,1.3860083135754695,7.585208034792134,4.415511542115482,1.37224337363543,
15,obj16-val21,21,0,76.28056768558952,46.43948845913911,15.442607610729882,12.562657217008327,7.6481257618589025,31.103914621139616,56,22,11,121,66,20,29700.0,0.21589225589225589,350.28627033021326,6412,519.8958333377238,6074.0,4473.7855,0.02074985365601052,0.2747929419502171,0.051929474533986206,0.3730822976148194,0.09875283982402412,0.4622215606935632,0.8900266259925932,12.705921249235574,2.6813942957541443,1.5567102209410593,767.6759351270535,0.4562944522576957,1.0254397199036696,11.873507062943292,7.007608329679749,2.1244756622141616,
