Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,175.40051457975986,60.9136649514008,3.234991423670669,29.528721071704222,10.254830928601613,6.51579704531621,127,26,0,216,91,8,53460.0,0.0654320987654321,199.68331072859425,3498,403.5772174011393,4964.0,3788.257833333333,0.011313491770133216,0.22449131154278307,0.025455017147918594,0.29416508979601863,0.06860503430722141,0.4093728626077948,0.81732600265402,15.465617153636826,3.4281064408405886,1.90093957864456,693.6069631058954,0.28789115644749935,0.47831030010509185,10.872121833692328,6.732536513234765,2.7307455489889954,
1,obj2-val2,2,0,86.04159043785828,29.5815343334553,5.3104037077692405,14.485123551048641,4.980058800274697,10.696013762304673,61,9,0,113,46,13,28196.0,0.2907859270818556,468.0398698295438,8199,628.7960408945388,5126.0,3811.0695,0.056446671868900754,0.3836011169301713,0.13735154214233702,0.515954233144022,0.09965260993446616,0.46362113553622974,0.9425430479256646,18.74762078488014,5.864993789868863,1.206628168344986,664.9951780625408,0.7038244565820386,0.8649348780448846,16.2014569295115,8.82315140433318,4.098509019893587,
2,obj3-val3,3,0,141.7581356867071,33.12534473248759,8.19484280198566,23.865018060902575,5.576660178866688,16.505741599593442,114,9,0,198,63,13,65450.0,0.11080213903743316,413.98038004681683,7252,654.4638170512958,6536.0,4955.523,0.0213025617922011,0.2772114525108765,0.04887642987373778,0.36562270602867725,0.06914407456675178,0.410442234088715,0.8960830198117419,18.185774887329938,2.649836989170113,2.4708492760708896,1452.1097804038511,0.28508890004974924,0.39511555280980043,19.15649744501259,8.316091387639633,4.304173418176791,
3,obj4-val4,4,0,31.446849501359928,55.78093834995467,6.430303717135086,5.2940850814166955,9.390735104740738,12.95167389131849,6,12,0,49,84,13,44968.0,0.19622842910514143,503.7179913862537,8824,724.4591415942158,7076.0,5237.008633333334,0.02485535094932771,0.2918371002244489,0.06131030869453096,0.3943160919813159,0.07547195647673899,0.42259943319142246,0.910406192916265,20.050648528315243,3.588866633746183,1.875786500703784,1397.5772261872503,0.3604222950601833,NaN,NaN,NaN,NaN,
4,obj5-val5,5,0,102.5860616503925,71.65249856404365,5.992054374880337,17.270389471643252,12.062716288247898,12.068968685832923,59,44,0,140,94,13,58548.0,0.17841770854683336,596.3098524502274,10446,792.2178997004584,8480.0,6514.746166666667,0.02023787269558312,0.27251402055618335,0.044633394702642555,0.3547207874029139,0.08088395725308442,0.432468514362579,0.9061536058080008,20.089307077902962,4.285657106294566,1.4589457329873041,1267.3876797131466,0.4705031159725277,NaN,NaN,NaN,NaN,
5,obj6-val6,6,0,41.62066345910357,22.314889845530516,6.521651050898962,7.006849238998533,3.7567173595425243,13.13566222683031,7,3,0,79,40,13,38836.0,0.20336800906375527,450.85728648783225,7898,654.1374168123248,5450.0,4028.6209666666673,0.043580993395304794,0.3519109890848157,0.1078989966706147,0.47607181299857576,0.08213411547268722,0.4346852362634124,0.9317807204143416,17.55694390084179,4.030715004256205,1.8912010480974053,737.7911959793437,0.6110906296318221,1.4226904161322522,14.169151214937052,8.3931644487019,4.084912985321229,
6,obj7-val7,7,0,139.86100188066337,12.19097281586596,4.041203624551206,23.54563510396779,2.0523533624454626,8.139639086428856,113,0,0,162,31,13,22400.0,0.2611160714285714,333.8901327763144,5849,504.18265534942014,4150.0,3141.5058,0.054134150505986384,0.37828942210271543,0.12479638883434331,0.49972837090778555,0.09837751304482377,0.46163523424183844,0.933560334006011,17.230429572138405,4.963646284625753,1.4343030403278694,606.3652896104005,0.5506418960604492,0.5733055644529951,18.346761990980013,7.262109938004535,4.5406132819671186,
7,obj8-val8,8,0,136.53814976188065,66.14773533286048,7.111358800283717,22.986232107841243,11.135988003505807,14.32342921221581,97,39,0,170,95,13,59052.0,0.16712389080810133,563.3718106290727,9869,793.5681364982161,8418.0,6431.206133333333,0.018465960709742987,0.2643166655742539,0.041411540065788933,0.34597160844303815,0.07182736482611407,0.4156843674567897,0.8997860211951784,19.877232206146484,5.314639590863019,1.155031104709955,1008.3585960569983,0.5587018475689453,NaN,NaN,NaN,NaN,
8,obj9-val9,9,0,187.1570487483531,54.707773386034255,3.896706192358366,31.507936577805193,9.210067511150974,7.848597838267039,161,34,1,212,75,9,19656.0,0.19307081807081808,216.63755409234278,3795,421.5375193152857,4896.0,3614.8729999999996,0.013878793259913043,0.24031701524420385,0.03448234573402664,0.32548596563542687,0.07086163270061276,0.41381297275674156,0.8387531510866648,10.63348971640671,2.158791742526929,2.5126813513814987,430.0877979762885,0.5037054180836964,0.28922001335886366,10.803051223210836,5.275308754050458,2.273977076841188,
9,obj10-val10,10,0,151.28386454183266,43.255602589641434,5.591384462151394,25.46867692724974,7.282091655878182,11.261954542177461,114,4,1,185,78,13,70200.0,0.11441595441595441,458.5066757495909,8032,699.673202629996,8482.0,6617.486266666666,0.011956524791746066,0.2286663697291793,0.025177965088849518,0.29309396470161914,0.06941574316050884,0.41097907660443894,0.8673031762403418,19.36498471815739,4.623399986568158,1.3822186701609114,1029.53324281184,0.44535392999775986,1.1928787889161192,16.65123535809714,8.436596757411664,3.860603290001565,
