Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,84.85532786885246,25.565778688524592,11.145696721311475,21.428096864788348,6.455999828415431,22.023896721311473,57,1,0,100,58,23,61248.0,0.0796760710553814,614.9159135287445,4880,1025.7066663575788,5274.0,3840.265033333333,0.018359956212370077,0.2638099221390052,0.04755634003107996,0.36230095144348107,0.0396291086208397,0.34093524669331027,0.8712418306662094,30.011494471014633,5.756060098958786,1.3148077057565288,2599.193276623563,0.2365795260626175,0.3102301019735654,23.840924513265737,11.595571400403175,7.282667724611642,
1,obj2-val2,2,0,88.49897820163488,81.18528610354224,4.216280653950954,22.348209888132633,20.501319343329346,8.331370572207085,71,65,0,109,110,8,16146.0,0.181840703579834,369.957606991884,2936,561.7386464624263,3622.0,2720.4317,0.020517249419346423,0.2737622796499221,0.04842292230545737,0.3644883612852196,0.08732797432341624,0.44366123287306,0.8540340536403344,10.845004047909446,2.3871195477919387,1.316340103930088,712.297290371431,0.5193865145815278,0.44800891369960893,10.45202174887098,5.218617150245742,2.303196002548338,
2,obj3-val3,3,0,71.73022508038585,8.191800643086816,13.884405144694533,18.113679479633184,2.0686349588843282,27.435584565916393,51,0,0,93,22,23,23736.0,0.2620492079541625,783.7657750304899,6220,1023.8761424113452,4126.0,2985.7752333333333,0.06229389290993006,0.39641391657308483,0.16438485729225671,0.5477982026582303,0.06472658484844748,0.4015083923213869,0.9405875706690299,27.71891382518087,7.047028543594039,1.3936406801545766,1289.0042134474443,0.6080397308665941,0.9905271716271605,27.936031176410275,12.062383291078856,7.090213270406553,
3,obj4-val4,4,0,64.4140799049458,69.75776028516263,12.292737264221001,16.26616947132257,17.615582686468326,24.290448834100694,43,50,0,98,100,25,74256.0,0.09067280758457229,848.4075503666057,6733,1322.1739336568342,7548.0,5404.541033333333,0.011922681100843657,0.2284504145733153,0.032478289365257956,0.31905413848840364,0.03522051082034744,0.32779251661089714,0.8586302938020464,36.10273741757044,7.486937703752278,1.2383077390205208,2839.6967203537583,0.2987669578534832,0.7291139083331137,26.526425927049786,14.413355781604023,8.037129329640365,
4,obj5-val5,5,0,43.96998191681736,91.84834237492466,11.908016877637131,11.103522375315716,23.194008281035305,23.530241350210968,18,58,0,78,127,22,98210.0,0.08446186742694227,1045.231045639536,8295,1361.8378458893144,7078.0,5242.574866666667,0.02194590421144732,0.2799744365558506,0.05400714638974974,0.37799298809755927,0.048921614082400026,0.36573570681801343,0.9023626228449726,30.18643317318462,5.04885436111084,1.2479195400066518,3622.0272731373652,0.2885762493815147,NaN,NaN,NaN,NaN,
5,obj6-val6,6,0,81.9199016335851,29.37871069734762,10.777797294923591,20.686828175025397,7.418860717365018,21.296927454769012,63,15,0,105,55,24,44075.0,0.12916619398752127,717.3598966637586,5693,1086.357038715662,5488.0,4041.6866,0.022176470800704794,0.2809515046772425,0.05551966508986479,0.3814892278291668,0.0453950829579747,0.3567276057854407,0.8891297417599006,31.50251610930554,6.348098499031582,1.4938800615889587,2175.310572294901,0.32977355316531237,NaN,NaN,NaN,NaN,
6,obj7-val7,7,0,101.53847224154724,75.94142201196605,14.911506887435648,25.641008918818304,19.177112242583163,29.465137609572835,84,46,0,118,105,25,54600.0,0.13163003663003664,905.6148915022718,7187,1319.8749646301476,7198.0,5223.769733333333,0.015664341267758168,0.2502099908974617,0.04098223024531642,0.3447719006002138,0.04034048452648791,0.3429631832571046,0.8786062244054003,31.997567800812888,5.966980931912083,1.5110731030566336,2550.6138683880845,0.3550576207266507,1.3902923500452347,30.202431714334967,14.557413135258436,7.463693553869249,
7,obj8-val8,8,0,49.21263272529268,95.01960250476449,10.981350394772665,12.427423091672576,23.994830939462545,21.699148380070785,28,55,0,78,123,23,84456.0,0.08698020270910296,925.6500616356878,7346,1256.4950744895218,6286.0,4610.5706,0.024571467301342718,0.29072177864633236,0.06227162395790729,0.3963663072257662,0.04884989907536295,0.3655569069162085,0.9038799350850832,33.145857816009304,5.717160333006974,1.2549541972546259,3718.6710105692287,0.2489195895535797,NaN,NaN,NaN,NaN,
8,obj9-val9,9,0,48.62755037384362,28.837029527309593,9.82980610822456,12.279675135055104,7.282072646740317,19.423696869851728,19,9,0,79,48,22,56120.0,0.14060940841054884,994.324072470353,7891,1247.8510558070848,5700.0,4170.134800000001,0.03802698498405083,0.33627746978096085,0.09711049744677146,0.45964449130186424,0.05754664757706429,0.38607684556057115,0.9261283378980346,31.361012037244425,7.10302577931706,1.491987146723308,1716.3542590442094,0.579323334463635,0.4276574605838014,25.189519694484424,13.478776892542177,7.156286350477347,
9,obj10-val10,10,0,82.8469223332259,57.52900418949404,9.812761843377377,20.920924133952905,14.52751530478488,19.390017402513696,61,44,0,109,80,21,39886.0,0.155593441307727,782.0016719998747,6206,1084.8520229937365,5246.0,3790.0476,0.03017109394942369,0.3113131930196061,0.08000956749504771,0.43090411444102017,0.05416967465113604,0.37837215149695375,0.9085550868967053,24.261486274216804,4.386462746132393,1.5564059600477236,1997.5102651056698,0.39148818689975856,0.6683185759104275,23.088083949523718,12.108437274875612,5.610754194384596,
