Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,38.11721068249258,110.53071216617211,3.1752225519287833,6.417042076366804,18.607873398954933,6.395412850462373,0,65,0,84,151,8,66555.0,0.1012696266245962,384.75286286756005,6740,683.1450338444861,10596.0,7681.478933333335,0.004318633185398121,0.16284817432810642,0.011335420490956035,0.22463592472375266,0.05251427170124717,0.3744779139328782,0.7792344995667382,13.110243466306864,1.8629941452127856,1.4157531133607366,1920.9247550804355,0.20029564502720418,0.36219927484638303,11.19846517254435,6.500223698424649,2.659733104456551,
1,obj2-val2,2,0,54.26250545613269,140.49698821475337,6.867830641641205,9.135106542332041,23.65270356445523,13.83292403037094,13,114,0,94,176,15,82656.0,0.1385864305071622,653.9086118913799,11455,954.6575628251242,10988.0,8453.147966666666,0.011186303760155069,0.22364688478669467,0.024568981159789467,0.2907116140947785,0.05558321141406934,0.3816350874168467,0.8791270185665432,19.643555977795174,3.131083618696527,1.6939534281491508,1911.868933467673,0.34202585775864147,NaN,NaN,NaN,NaN,
2,obj3-val3,3,0,83.19313937487713,161.96284647139768,7.902005111067427,14.005586092867915,27.266486240884916,15.915919027799049,56,126,0,114,192,15,63248.0,0.1608588413862889,580.7827339487472,10174,841.005684275183,8798.0,6641.323300000001,0.017190320234329294,0.2580844929167921,0.039964278183697056,0.3418933532701611,0.06413320936809228,0.40027769368963756,0.8972838848054174,21.441684360459085,4.926492112412203,1.1986333331129444,1419.3952553663742,0.4091761838381203,NaN,NaN,NaN,NaN,
3,obj4-val4,4,0,120.8792109929078,46.028147163120565,8.404255319148936,20.35004579849246,7.748850237318397,16.927532350134737,97,21,1,138,65,15,28350.0,0.3183068783068783,515.1349902844009,9024,708.5145053839424,5724.0,4217.8779,0.0491079349032498,0.3661994267402264,0.12273503085489512,0.4969616149723247,0.08438169322494977,0.4386146195966686,0.9394036597629236,19.880555579592546,5.746249657387706,1.4356622354633963,694.3091372074754,0.7419389471904169,1.7691720253984768,15.55383127903126,9.985362625345637,4.380960072837425,
4,obj5-val5,5,0,45.936471193415635,51.262602880658434,3.754372427983539,7.733416564590123,8.630072183648988,7.561914567771714,16,18,1,73,78,8,28304.0,0.13736574335782928,221.94645857998123,3888,403.05689488333644,4836.0,3754.1600333333336,0.015116317647288496,0.2472573877492079,0.0323122008915451,0.3185093458201974,0.08508436236178389,0.4398287419245029,0.8465307989343749,10.920738961550311,2.3814841934178275,1.7358462251509033,554.163619155479,0.4005070901590723,NaN,NaN,NaN,NaN,
5,obj6-val6,6,0,115.90397196261682,128.16028037383177,7.505373831775701,19.51246304713905,21.57581567361596,15.117039346456156,79,100,1,145,152,15,53265.0,0.16070590444006383,488.64755284069946,8560,709.8123948136256,6318.0,4811.3164,0.03285950660633554,0.32029796088126805,0.07440603283839259,0.42060011121334523,0.07551149931334163,0.4226732259252556,0.9220609071948511,21.1553852598815,6.331924604084309,1.2885122765202686,767.6997044362755,0.6365087156045149,1.1521550698884029,15.97348129788035,9.123907354502473,4.534301925906587,
6,obj7-val7,7,0,85.82402457058355,86.55431691502673,8.131839381185303,14.44849628216707,14.571441183392304,16.378842498689497,47,49,1,120,123,15,83250.0,0.1055975975975976,501.8341865680594,8791,810.6202713369386,10138.0,7561.280966666666,0.008388263662918529,0.20318487826061316,0.02021821475050141,0.2724254028078027,0.05347126769273058,0.376739002981285,0.8489289992878267,21.017208381005553,3.108408105587192,2.0214003990394427,1991.0642106419502,0.2520431957371481,NaN,NaN,NaN,NaN,
7,obj8-val8,8,0,100.24996594469418,187.30881351314534,6.749080506742951,16.87710716767941,31.533486214411447,13.593742012007818,68,159,1,131,207,15,47040.0,0.15605867346938776,419.06094455649236,7341,692.5307988047872,7616.0,5683.677699999999,0.013796915850556004,0.23984350299328908,0.0331951391400639,0.32138442874148987,0.059798387226668824,0.39104814626278855,0.8719549974079231,19.708519564605286,4.352022581862903,1.5378979988849475,1100.8820342252768,0.3806592636888637,NaN,NaN,NaN,NaN,
8,obj9-val10,10,0,92.75550443641144,114.21798663599517,9.002957607624055,15.615412673846711,19.22862699021484,18.133415795057083,56,76,1,124,144,15,71415.0,0.1278302877546734,521.1289147059282,9129,798.2245972177499,9284.0,7120.169766666667,0.011778592374241423,0.22752638868642378,0.02611125473164363,0.29667155903143705,0.0603903289680241,0.3923342337147019,0.8722378955111124,19.551019306087234,3.881762454442376,1.3681499276673128,1518.4664465114781,0.34319422460942006,0.21278429741309812,17.571857799944446,8.4823930686065,4.6369982905703555,
9,obj10-val11,11,0,70.1214588082058,143.7948550960599,7.422663627482905,11.804965357424559,24.207900289522016,14.950447589580028,39,103,1,99,195,15,85095.0,0.0721781538280745,350.61603616210004,6142,619.3365155850753,6086.0,4577.354766666666,0.018926754705051004,0.2664971847305255,0.04448650390386238,0.35433122494478464,0.05852425115051238,0.3882508060219724,0.883072857825715,22.391492891077608,5.305633641193947,1.510388341619577,1106.049583678961,0.3169984793953586,0.9404391460095435,16.697723991415906,9.115595017538439,4.690741036466018,
