Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,27.444728108246107,50.007148327801886,5.909114117947409,6.397376993094893,11.656686083417283,11.901913565653304,0,28,0,64,73,12,38870.0,0.10077180344738873,428.68077712347906,3917,751.4613337177802,5364.0,3849.1812333333332,0.011243284728611304,0.22402598011542216,0.030426670918440563,0.3121893947819691,0.04897793553238233,0.3658760050299147,0.8240394380315718,18.205715361471665,4.399646834096939,1.2068970345817438,1081.9469831663455,0.3962123688065877,0.44948610372561426,14.902310123151688,8.053313349216374,4.08556578017533,
1,obj2-val3,3,0,50.92228260869565,69.32065217391305,5.947644927536232,11.870004246785175,16.15867148016958,11.979520861127252,30,44,0,87,94,14,44370.0,0.12440838404327248,604.1148556858831,5520,895.6481198885947,6138.0,4558.370633333333,0.014902182463579673,0.2460842967215285,0.036383261414114215,0.3313603515334421,0.05744856020882138,0.3858573670349482,0.8635354525465079,18.79033414191242,3.592515501521043,1.2115582710123165,1777.2580457841605,0.33991397991918276,NaN,NaN,NaN,NaN,
2,obj3-val4,4,0,65.91395930024991,82.86826133523742,3.546590503391646,15.364570021902095,19.31662454198393,7.143408094950908,52,69,0,79,102,7,7616.0,0.36777836134453784,306.5445128217679,2801,439.19253238677135,2658.0,1912.7027666666668,0.04725128909437803,0.3615249951465681,0.12680492833030313,0.502395079972051,0.1254511437507501,0.5006011491728636,0.9061232399554285,11.034764252914485,3.255302019605785,1.129599078847796,470.18726400110984,0.6519626036086004,0.9481766246754526,8.347206240097917,5.731760424785651,2.082672150661933,
3,obj4-val5,5,0,26.66925182481752,71.49680656934306,5.204379562043796,6.2166131642557145,16.6659339317354,10.482463948727068,0,54,0,57,88,9,20300.0,0.10798029556650246,239.89488472164058,2192,445.4681005997056,3018.0,2113.276166666667,0.019768593301019738,0.2703911608188358,0.0575790781784754,0.3861489893913727,0.07362825674129417,0.41912980983654025,0.8347928172453792,13.635660557553388,2.7311385154428844,1.982077856596078,718.3051316683101,0.33397350811690457,NaN,NaN,NaN,NaN,
4,obj5-val6,6,0,80.36875,81.423125,3.23375,18.733987459664895,18.97976268981074,6.513296616837129,65,58,0,87,118,7,11224.0,0.14255167498218105,175.10575527127048,1600,357.47908238081925,2178.0,1542.2750333333333,0.028023263633381233,0.3037433335691311,0.07892359406916587,0.42894566658144534,0.07591040543100554,0.42341620651268624,0.8454062146074902,13.438943298553912,3.4787149331734453,1.929248105235435,435.46994588372513,0.4021075551285587,NaN,NaN,NaN,NaN,
5,obj6-val7,7,0,33.72661217075386,84.46866485013624,4.825613079019074,7.861686656366861,19.689679235238682,9.719566862540374,0,66,0,83,99,9,28560.0,0.07710084033613446,240.989295692086,2202,519.1800646638488,3962.0,2763.4754,0.008817461846313344,0.2065928156103526,0.02598484879259368,0.2961920502843067,0.0469346791950374,0.3607157129042933,0.758416654593296,18.408478437395647,5.589687509697149,1.1237440682424376,744.2173599696478,0.32381574074261654,0.37331996889156327,14.273345470791794,7.592645673180153,3.9013240984516355,
6,obj7-val8,8,0,77.59162988393003,49.822788948831125,6.328919404937061,18.086639660570867,11.613711839153066,12.74746945447589,66,17,0,87,80,13,19712.0,0.31031858766233766,669.451190621476,6117,883.3827865620475,4812.0,3561.0931333333333,0.0379797829489054,0.33613827444199357,0.09370857606143781,0.45421322964713895,0.07352641866004929,0.41893648266856526,0.9191480694590081,19.337445092569506,3.798045486311831,2.284714780169682,919.0381808127942,0.7284258745696678,0.8693501144050474,15.001557028783878,9.26534210238468,4.071665655595334,
7,obj8-val9,9,0,13.452237808951235,59.550434201736806,6.002004008016032,3.135721961798863,13.881229800798652,12.089008859575944,0,42,0,31,91,13,22400.0,0.06683035714285715,163.83332227568246,1497,375.92266167370684,2548.0,1797.581,0.015321373618127533,0.24837040145441583,0.04363455658386774,0.35205473436446894,0.05714277522865369,0.38517154054266883,0.7849379529349757,20.937116900281097,3.437962417234288,1.9786929651364709,1643.8362844770274,0.09966523054806802,NaN,NaN,NaN,NaN,
8,obj9-val10,10,0,31.898346601347214,98.25882833231272,5.640947132067769,7.435517227948462,22.904171805321244,11.361781792363079,2,70,0,59,135,12,49764.0,0.09844465878948637,536.1519344212213,4899,797.9241128281184,5562.0,4089.6714333333334,0.015775179106514343,0.25079874961368065,0.03968277171160551,0.3410887008256176,0.0639946045508891,0.3999891256825325,0.861502558196294,18.284078473348526,2.0415483005262325,2.2769541629983108,2697.951953535642,0.1987255309415718,NaN,NaN,NaN,NaN,
9,obj10-val11,11,0,9.383208645054031,43.69659185369908,3.9310058187863675,2.1872296519214425,10.18569286964515,7.9176828450771755,1,17,0,24,60,8,9504.0,0.25315656565656564,263.315279489173,2406,478.8902889903425,2976.0,2118.252466666667,0.024839613776590143,0.2917754950339127,0.0688827468206841,0.4099241319478254,0.07139970274918513,0.41485772682677485,0.8578697657421206,12.09672392315298,2.7035129158783398,1.989146531928293,509.99770406852696,0.5163067939101782,0.21209529752458714,8.82204045463543,5.967477443951386,2.2893669897021396,
10,obj11-val12,12,0,62.86355311355312,47.31410256410256,6.477564102564102,14.653519131494294,11.028936049163336,13.046863967398965,51,25,0,87,86,13,32116.0,0.13600697471665213,478.03871189056844,4368,688.469680933131,3624.0,2689.3586333333337,0.04533702994502753,0.3565754753166315,0.11093573663741724,0.4804967898186213,0.07919979368076198,0.4294458238889302,0.9178722499247505,17.084356338133375,3.190656982790643,1.791925807402351,1144.9965896493245,0.41750230193871257,0.9756072158003359,16.233666896372103,8.484012111789811,3.9360731076647135,
11,obj12-val13,13,0,29.279351184346034,27.870751802265705,4.867919670442842,6.8250283588417515,6.496683284922042,9.804779194597689,4,1,0,60,58,9,33060.0,0.11748336358136721,425.0692209210091,3884,700.5514688994925,5130.0,3707.2914333333333,0.012637428766013292,0.23292720011611606,0.033484254413671394,0.3223147726728328,0.05943627007435635,0.3902572001743013,0.8328495574499087,15.07339103520297,2.62361621316113,1.7768256076277207,1172.9407338962255,0.3623961625998203,0.2755367239190902,12.976416116391853,7.302808738618393,3.077444400604889,
12,obj13-val14,14,0,41.187153053132434,110.78806502775575,6.8080888183980965,9.600741691225528,25.82474184195368,13.712594315577583,16,75,0,72,138,12,47424.0,0.10635964912280702,552.0208934926802,5044,930.9264817894508,7750.0,5602.699533333333,0.006181550502753741,0.18352696253966744,0.016361025902351146,0.25386539824308957,0.04271862354646097,0.34957433488552403,0.7899839868841576,18.879779767512954,2.08427013029185,1.5661913465433321,4143.110633738859,0.1332382700566509,NaN,NaN,NaN,NaN,
13,obj14-val15,15,0,32.77855035819638,35.68078381795196,7.875684787189212,7.640693072325314,8.31720484139079,15.862905629586436,6,0,0,64,69,15,66080.0,0.07182203389830509,519.4074465734061,4746,937.1236622694342,6504.0,4726.970833333333,0.009259046037068114,0.20998555750601267,0.024118987554842063,0.28892582218729257,0.037074730697506796,0.33344674218991843,0.8204164613903028,24.21072454143975,4.257136876300034,1.2491863184175027,2625.7265818089218,0.19781474970466068,0.4110281941591259,16.649932595924408,10.371099590756296,4.61032384636279,
14,obj15-val16,16,0,46.26110444177671,16.167166866746697,5.856542617046819,10.783481769748724,3.7685730005747553,11.796026042202865,31,0,1,71,34,13,18655.0,0.17861163227016885,364.6577353524208,3332,611.7836793253626,3588.0,2594.9111000000003,0.027183480121721906,0.3006783837999682,0.0718612732053968,0.4157494045263106,0.06567945998827766,0.4034690743969878,0.8794064266087731,18.209607949522734,4.753462638707731,1.580637004842896,708.1708727191634,0.514929022641449,NaN,NaN,NaN,NaN,
15,obj16-val17,17,0,65.37566016073478,21.459931113662456,7.898737083811711,15.23909227925679,5.00231844303445,15.90933669123364,46,1,2,81,45,13,19440.0,0.22402263374485595,476.61597762898936,4355,687.6477980210844,3670.0,2671.477066666667,0.04339408140782031,0.35140717177850794,0.11250565208072622,0.48275277664734284,0.07901169849710463,0.4291055846122074,0.9156167488169505,13.176544523371447,2.558056779079311,2.114635300099919,692.5280234788099,0.6882262687866131,0.9084975923419466,12.355518215400018,6.836434017415723,2.8076255545264357,
16,obj17-val19,19,0,35.40518417462483,113.64993178717599,8.063028649386085,8.252962455364148,26.491844117181433,16.240246532201695,13,76,3,58,138,14,34776.0,0.10538877386703474,401.10162066825393,3665,655.5054916592676,4194.0,3166.740733333333,0.02059278347234021,0.2740978189398095,0.047836875572352236,0.36301196137822583,0.06459995324221172,0.4012463835710075,0.8654070371898707,19.16012884812759,3.2054325325115536,1.804549303821026,1589.0656174190085,0.2524135040563844,NaN,NaN,NaN,NaN,
