Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,31.0,57.30585317369856,133.52654855152417,5.871064221689296,9.647454901694152,22.47922828101162,11.825274907572448,109667.0,0.0,87.0,18.76895430429574,11.669431858602522,
1,obj2-val2,2,0,6.0,79.8963332577304,149.39854842367885,5.589476071671581,13.450567947716204,25.151283481065537,11.258110734444713,66135.0,0.0,77.0,15.095868523168226,11.31852781805558,
2,obj3-val3,3,0,17.0,38.90252045891375,66.64260804089801,6.211970198347435,6.549249176205603,11.21929994929257,12.511914797615592,100934.0,0.0,70.0,17.51718153418952,9.341435625753578,
3,obj4-val4,4,0,16.0,53.7953331404879,162.76476713913797,6.807193134702536,9.056457964623197,27.401489788486085,13.710790263444904,51855.0,0.0,56.0,10.698370125851042,7.953032489483834,
4,obj5-val5,5,0,20.0,40.93374257039852,18.378024619182174,2.332196563707818,6.891205933336082,3.0939451011813937,4.697421874974042,30789.0,0.0,56.0,13.769677996422182,9.235918216947221,
5,obj6-val6,6,0,50.0,89.66933949992773,50.85370718311895,6.407041479982657,15.095856024830944,8.561234489364043,12.904819975417453,172975.0,0.0,88.0,23.521212945335872,13.445545719105425,
6,obj7-val7,7,0,33.0,70.04107824699379,60.91722231720522,4.747774548355844,11.791433269578047,10.255429812036137,9.56278744594095,175470.0,2.0,148.0,33.15133194785566,20.650795708626507,
7,obj8-val8,8,0,25.0,37.98713641864541,93.46837833326379,5.488085798940032,6.395144041090495,15.735425175006618,11.053894292121532,95852.0,1.0,60.0,18.443717529343854,8.842854260570942,
8,obj9-val9,9,0,6.0,17.08684182533773,127.70481863631528,7.6682480587171575,2.876574150683532,21.49913857470219,15.445094437699371,47005.0,0.0,60.0,9.77438136826783,7.488374292142466,
9,obj10-val10,10,0,23.0,65.50325345183305,110.27106808443104,6.138422472623393,11.027489315538888,18.564162252006362,12.363777757604932,157525.0,0.0,75.0,20.55925345862699,11.168294058855409,
10,obj11-val11,11,0,44.0,78.39701273455786,34.824979172452096,2.8885230293172532,13.198156957748946,5.862794067480522,5.817953544494225,100828.0,0.0,80.0,22.832427536231883,12.25927893084041,
11,obj12-val12,12,0,27.0,89.25035123931104,123.03436941702947,5.905364855254714,15.025319244994744,20.71286726525779,11.894361942920575,115306.0,0.0,72.0,17.502428658166362,9.945906229570687,
12,obj13-val13,13,0,19.0,95.80069344669128,97.64407423679305,7.611206763480057,16.12807101530376,16.43840463838501,15.330204024003875,84217.0,0.0,56.0,15.80946123521682,8.47657640614623,
13,obj14-val14,14,0,8.0,7.064980558377413,95.78911969734122,6.918275125232073,1.1893912670961642,16.126122571668173,13.934527396218794,28547.0,0.0,45.0,10.361887477313974,5.754862747092993,
14,obj15-val15,15,0,21.0,94.34473612947417,74.20176179173902,6.042881947209965,15.882960232046274,12.491885398551382,12.171343654490553,125554.0,0.0,85.0,18.78426092160383,11.464098004503173,
15,obj16-val16,16,0,20.0,62.91889316112918,21.685086595024483,8.18595747477735,10.592411605785186,3.6506898227430895,16.4878451104878,60858.0,0.0,97.0,20.992756122800966,18.542407030405226,
16,obj17-val17,17,0,11.0,37.75436552816105,39.271239538565936,7.821262157882832,6.355957002699,6.611323126689447,15.753289633501202,88420.0,0.0,69.0,18.90123984608807,10.55675248600934,
17,obj18-val18,18,0,38.0,14.971285892634207,58.44632565457562,8.38342482855335,2.5204197733827485,9.839453732817645,16.885576365929623,58473.0,0.0,59.0,17.708358570563295,10.59679564524686,
18,obj19-val19,19,0,35.0,35.18995516380496,120.85131451571814,7.717633871707342,5.924237868100769,20.345349419489295,15.544565469371182,78508.0,0.0,90.0,19.543938262384863,14.025681614281407,
19,obj20-val20,20,0,36.0,75.66064614946697,68.14331315951773,8.051548278222445,12.73748894982051,11.471944036254182,16.217123203972804,147551.0,0.0,153.0,31.507794149049754,20.294239178931512,
20,obj21-val21,21,0,35.0,59.94372755763643,87.50314034486696,7.157613591666349,10.091541722602962,14.731175848214564,14.416593858903095,78813.0,4.0,61.0,26.509586276488395,9.397727754187736,
21,obj22-val22,22,0,20.0,71.00259750639387,39.27038043478261,9.720428388746804,11.953305280523521,6.611178496349848,19.578518233825168,50048.0,0.0,59.0,15.361571516267649,10.090168683889228,
