Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,72.35498376217836,57.96652510617037,6.168623532350737,16.865975375315735,13.512019963223839,12.424607586796121,52,17,0,100,73,12,36309.0,0.1102481478421328,438.09271146930985,4003,708.4696316158187,4802.0,3422.217266666667,0.016366547923605597,0.2538943038408708,0.04521690360798409,0.3562598983978334,0.061040869609831586,0.39373797993939585,0.8538418417420198,16.417431491419038,3.269308811075162,1.1768862063934737,1473.5262043662024,0.2973090740912501,0.3496568984837585,13.847710796375667,7.889752786108539,3.4355779488246854,
1,obj2-val2,2,0,93.3276505061268,56.649440596696856,3.0106553010122536,21.754712300760772,13.205007042358506,6.063947734532936,84,27,0,100,74,5,4896.0,0.383374183006536,205.42093915260918,1877,307.04818679733637,1800.0,1326.674,0.06832244558055034,0.408810011582894,0.17064291636451398,0.5546632877559597,0.16486261453902565,0.548328713629768,0.9142893763920447,7.594161487221328,1.6640269773011476,2.3138496190146256,286.333535997989,0.7174183716784468,1.2447480102755906,7.342508590820057,4.512214504037823,1.3050130560006319,
2,obj3-val3,3,0,88.13308965813803,81.9630187056547,6.838314341001935,20.543858109490063,19.1056121264548,13.773473416966903,67,57,0,100,110,14,27540.0,0.16888162672476398,509.01054235417445,4651,830.2575497210248,5882.0,4273.9365,0.01202181365776387,0.229081826600624,0.03133724813447151,0.3152731254537559,0.05119970135766007,0.37132675258502373,0.8395145635477409,17.649731602731286,3.9166004364447207,1.4449444012081358,1039.04230909679,0.4898843270363484,0.3272490176558807,15.055900098998725,7.273598331738675,4.108349933861436,
3,obj4-val4,4,0,45.496078431372545,40.17058823529412,6.9943977591036415,10.60515390369097,9.363780029518464,14.087850718572229,15,22,0,79,58,13,33670.0,0.10602910602910603,390.70471644902227,3570,663.3688864390778,4354.0,3261.7418,0.017463188086146646,0.2594428838714007,0.041537472613914994,0.34632195358897566,0.05914041756773172,0.3896086031856044,0.8525119252071088,18.692112593367284,2.4520812257812583,2.35339314151701,1933.3013994934179,0.20209198449419136,0.12280153817696357,16.16498072878206,8.899815239449323,3.7872675095944053,
4,obj5-val5,5,0,78.56316410861865,39.596221959858326,3.564344746162928,18.31310467317778,9.22989502320359,7.179168017448533,64,21,0,96,51,9,10230.0,0.16559139784946236,185.39321839345763,1694,342.6639128089319,2104.0,1506.3964,0.03484512116492987,0.32662378881391785,0.09494265626645879,0.45619843668364035,0.09661286297349102,0.45885836745717545,0.8656083136514462,13.46903825558979,3.250305130279354,1.783058046382959,543.3561650964814,0.34120017458629215,0.8883687581212222,11.870414132888659,6.623121539295486,3.0197186005851853,
5,obj6-val6,6,0,52.48337595907928,76.4791908858405,7.283422459893048,12.233895725120387,17.827329689470762,14.669993310248767,28,54,1,80,91,12,24168.0,0.1779625951671632,470.70615838858396,4301,674.4586310803425,4390.0,3261.1043,0.024728495697947255,0.2913397667676977,0.060324980656706814,0.39219230086760326,0.08167444348803131,0.4338727994146466,0.8842582771739053,15.174847017366012,3.321479041464101,1.3909483075700595,953.8663525240419,0.4934718130512104,0.5924965971173417,13.670434603302837,6.950832886225948,2.9354130979691333,
6,obj7-val7,7,0,55.596874281774305,40.18432544242703,6.911974258791083,12.959653417420645,9.366982177942557,13.92183642998045,27,18,1,98,72,13,51480.0,0.08451825951825952,476.17821324081115,4351,724.2069062344631,4786.0,3591.1306999999997,0.01953045932044584,0.26930105544403593,0.046231385089896174,0.3589045535009269,0.06751549086146327,0.40719415311773577,0.8699592926850391,18.652289947887596,3.095112103881518,1.6008653425817492,1772.4642806648692,0.26865320697023687,NaN,NaN,NaN,NaN,
7,obj8-val8,8,0,54.10110584518168,60.6980365605958,7.6510945610471675,12.610989202365802,14.14873636522259,15.410544513202774,23,41,1,93,83,14,42742.0,0.10366852276449394,484.93350100437476,4431,744.3364986245319,5294.0,3969.1517,0.01496594216650885,0.24643475818074045,0.03551098999461966,0.32869083398198257,0.0644924392921904,0.40102366155691604,0.8527936805892071,18.04261063546601,2.3632263546659713,2.1913204681853324,2010.3430894159817,0.24121927424102083,NaN,NaN,NaN,NaN,
8,obj9-val9,9,0,47.46275906735751,111.70045336787565,6.20919689119171,11.063587938956022,26.037419925439497,12.506328907514368,22,85,2,73,129,9,18720.0,0.16495726495726495,337.954107673552,3088,547.3143499208386,4220.0,3163.2024666666666,0.014350584950656787,0.2430098154861478,0.0340742248483331,0.3241967535839266,0.07878750133109803,0.42869933549942485,0.8291771524178437,11.953534321386854,2.028383558113268,2.1288571173748343,816.8285514230362,0.413739342343979,NaN,NaN,NaN,NaN,
9,obj10-val10,10,0,22.928643895840377,60.50625634088603,8.158944876564085,5.3446759743282755,14.104032320042657,16.43343735956258,0,34,2,53,89,13,36288.0,0.08148699294532628,323.61732396071676,2957,597.9014068962414,4662.0,3341.4833666666664,0.009759739253180714,0.21370437268039683,0.02650556777365565,0.29815747638849477,0.05541497888338278,0.38124966974475766,0.792443712711101,18.083549300866288,3.742271712517848,1.4560828999917546,1214.7387239405657,0.26640899609334473,0.34060664788625067,13.873285762112335,7.856843249884224,3.8960615090021866,
