Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,56.32138613861386,31.482772277227724,7.645940594059406,15.23845378376589,8.518056873647248,10.266775725566252,24,8,0,86,57,17,56700.0,0.0890652557319224,496.3975949751645,5050,810.379026421257,5744.0,4198.018466666666,0.015219200411041097,0.24781706997859548,0.038985409079229524,0.33907884766084967,0.05236572654923579,0.3741244902910015,0.8605900026339307,16.607149911391335,2.5835113366598383,1.3846229561441956,2075.9726867845343,0.2391156676266453,NaN,NaN,NaN,NaN,
1,obj2-val3,3,0,44.373374512353706,57.12548764629389,10.391417425227568,12.005770154024104,15.456013480043282,13.953332603505139,12,38,0,68,76,20,46683.0,0.13178244757192126,604.7203968885569,6152,990.0909110039224,7018.0,5251.3791666666675,0.012383543538900189,0.23135680645731596,0.02955730930762342,0.30918728956309677,0.04261243845900377,0.34928445083713733,0.8566223823780591,17.03030664926447,2.0810972750709404,2.1514974826089617,2220.3957562319442,0.2723480240814275,0.6857833602269985,15.463798782538909,7.894760600878244,3.698912068469929,
2,obj3-val5,5,0,43.66036546943919,60.32640201638311,9.590632220121822,11.812856660717681,16.322060803068155,12.878058475484837,12,26,0,79,96,20,101388.0,0.046958219907681384,467.9898910251007,4761,824.0273243258348,5764.0,4341.644200000001,0.013386801385444475,0.2374431058804865,0.031324636978766855,0.31523082763264915,0.044269078189422884,0.35375339042957743,0.84866908539474,21.93568410278051,2.8012342014441023,1.4763476438479401,3816.406808520555,0.12262578768601422,NaN,NaN,NaN,NaN,
3,obj4-val6,6,0,73.0070239334027,68.64698231009365,7.709417273673257,19.752961288300202,18.573297623620984,10.352010606138744,42,37,0,95,110,14,59940.0,0.06413079746413079,377.85195150188764,3844,680.0437118718828,4344.0,3169.034333333333,0.020386829072269623,0.2731809792366781,0.052509550230402595,0.37446632289122694,0.0513434709811935,0.3716739913469976,0.8670012520350521,16.213191468351084,3.6233302640399607,1.3871139163604354,980.3161350130686,0.3854388783439237,0.9039490138843357,15.707027975963749,7.347785712499678,3.361102343932067,
4,obj5-val7,7,0,50.878093916261854,96.95998149433264,10.510525098311359,13.765703152989513,26.23373283533585,14.113267375650171,32,71,0,80,111,19,40180.0,0.10759084121453459,424.93600060943294,4323,812.5319409911577,5924.0,4342.3941,0.010166645840419625,0.21663397199609338,0.02581280120961994,0.295536899144465,0.0380695811637705,0.33640298394871765,0.8220732737803949,18.997034449471304,3.271004512546837,1.1863233524235768,2262.458662589383,0.18782044845102003,NaN,NaN,NaN,NaN,
5,obj6-val8,8,0,83.59332260659694,33.24175382139984,5.180611423974256,22.61721648748133,8.993971278548356,6.956394044256009,69,11,0,94,54,11,13728.0,0.18108974358974358,244.36523190262554,2486,528.29034442224,3444.0,2488.2631666666666,0.017110598225368694,0.2576849098590578,0.045369677230161755,0.35666067722343436,0.0458050312513008,0.3577982188565961,0.830406514328053,10.708314711584187,2.100105506239072,1.7471722712918538,667.4734745081682,0.3661047835386829,0.4989348843739577,9.622831841695088,5.42936090803348,1.9950055530638564,
6,obj7-val9,9,0,57.55887078264861,17.63093871930227,8.216433325682809,15.57327069522885,4.770270464886475,11.032818942432714,26,0,0,79,45,17,44712.0,0.09744587582751833,428.2780834270875,4357,801.849826699778,6000.0,4341.976833333333,0.00993971065303275,0.21500996158859487,0.02622798867731687,0.29711300546653957,0.04023694092965086,0.3426694995219736,0.8207347694725514,15.663533693262337,2.155172695343468,1.7231159756368388,2011.310698016215,0.21293482098489527,NaN,NaN,NaN,NaN,
7,obj8-val10,10,0,29.006524778623582,12.456889855522759,9.142302314742892,7.848077214911992,3.370366984322192,12.2760524131874,7,0,0,48,30,19,26040.0,0.24719662058371736,632.7349146247791,6437,929.211311896602,5370.0,3940.7112666666667,0.030261923886770733,0.31162528203968387,0.07657650571452804,0.42465070393961557,0.05643551707935216,0.38357584666352657,0.9098725203037037,16.84603632064506,3.1490019827667175,2.013778843174934,1002.8226724215145,0.6309539383437701,0.2275871016519867,15.038083279568694,7.629172980311958,3.893427587298489,
8,obj9-val11,11,0,9.752967778405878,37.020350480497456,4.556811758055399,2.6387871275046995,10.016317753037457,6.118771623719805,0,17,0,24,57,7,8200.0,0.21573170731707317,173.88660307149826,1769,335.7816984286091,2336.0,1660.6543666666664,0.027764478718942477,0.30280545418719496,0.07728056417041541,0.425948174484036,0.09032616172630192,0.4486815381580806,0.8502127284700655,7.51738959846693,1.828652730249403,1.5132465460745732,351.65564661550894,0.4944797694706757,0.820294889840982,8.211774172513978,4.189695063146369,1.600138227799881,
9,obj10-val12,12,0,77.47186261558785,78.2446499339498,5.062879788639366,20.960979104889457,21.170066356516337,6.798306980811311,56,57,0,94,107,11,23868.0,0.15858052622758506,372.0524548477223,3785,644.1199009159395,4202.0,3078.5213666666673,0.02183815765398352,0.279515493588745,0.05553382975666883,0.38152166803639853,0.058581511084717396,0.38837738572506275,0.8708512432484762,11.252643787767667,1.9414908098129646,1.6470284341383454,961.347776866607,0.3870113020496919,NaN,NaN,NaN,NaN,
