Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,84.05367490088442,63.579139981701736,7.482159194876487,22.741770544859914,17.202129646424012,15.070281305180004,63,34,2,103,92,13,29028.0,0.11295990078544853,483.47159819511813,3279,757.2326369411649,4338.0,3211.6007,0.01489589367692875,0.24604967566649413,0.03670883273809645,0.3323457976455211,0.060884442589700494,0.39340135364722423,0.8357619384337559,15.133436603368558,2.7369511156959887,1.0472959723668853,1850.5369398901837,0.2612601714526211,NaN,NaN,NaN,NaN,
1,obj2-val2,2,0,49.742539902845245,36.08674531575295,10.13497571131159,13.458464845504833,9.7637192264275,20.413483730100427,29,17,2,67,54,15,20748.0,0.13890495469442837,424.93600060943294,2882,648.7613843166655,3694.0,2672.8781,0.0186358691789907,0.2651248653258901,0.049192950154058585,0.3664102572971101,0.07479015791433509,0.42132302351075546,0.8458101033259449,19.744653413788683,4.244911757237558,1.3170581499513774,1358.6101321571387,0.3127725832095328,0.28162509264070607,17.04102364044185,7.713313232926323,4.297325972418034,
2,obj3-val3,3,0,29.267417311752286,20.58128078817734,7.980999296270232,7.918664945100787,5.568522325240271,16.07502611994632,1,0,2,73,52,15,54166.0,0.05246833807185319,419.0382074018072,2842,728.8455127384419,3744.0,2707.1747,0.017405760380940286,0.2591581791467134,0.04604173412883739,0.35841311332013565,0.05129241730559097,0.37155075855857017,0.8397187167561893,21.79365071040552,4.423943153192867,1.3575505299805422,1631.9372942292173,0.25677347339483636,0.13976465376161326,17.040727397631148,8.735007566817373,4.979295404452395,
3,obj4-val4,4,0,84.67012041444974,52.11313357602912,8.500980117614114,22.908557570405698,14.099858543451013,17.12235177111889,46,24,2,103,79,15,45472.0,0.07853184377199156,526.5254886107859,3571,802.7649437264403,4380.0,3227.7172666666665,0.01716365365518552,0.25795097232016667,0.04288897007795215,0.35003800968958887,0.06060744507401666,0.3928038459755881,0.8512688328831048,22.327462627096818,4.0617377141436,1.3007280557588123,2172.683381821667,0.242338802338206,NaN,NaN,NaN,NaN,
4,obj5-val6,6,0,54.83712784588441,76.35176382286716,11.245434075556668,14.836869182469611,20.657922400210378,22.650126855566512,30,40,2,76,100,17,45872.0,0.08713376351587025,589.3369862719998,3997,1030.4930103262193,5970.0,4231.0339,0.008491759320678444,0.20401710588873642,0.023855095248615444,0.28786821729557105,0.035895881111134925,0.32987445650479175,0.8015717860667139,21.508724206193165,2.4646373225386435,1.686681270141801,4068.1173933409395,0.14486725167682712,NaN,NaN,NaN,NaN,
5,obj6-val7,7,0,58.917344173441734,55.15880758807588,8.847696476964769,15.940822621794169,14.923903650557705,17.82069471363476,27,14,2,90,87,15,66304.0,0.05565275096525096,544.0714234034723,3690,961.0642070429224,6130.0,4390.9354,0.006685342815670711,0.1883831056698385,0.01819005291839683,0.26299328158945967,0.03771438200953161,0.33535347149539313,0.7731589634647028,18.228028850135185,1.958430884887656,1.9268016373699213,3432.845077164277,0.15848994381444848,NaN,NaN,NaN,NaN,
6,obj7-val8,8,0,42.19012647898817,67.74500203998367,9.365973072215422,11.415065156582127,18.32925560686181,18.86458777723954,23,42,3,55,90,15,21021.0,0.11659768802625946,361.38727879726576,2451,595.1433037117076,2794.0,2038.9990000000003,0.03115012477654921,0.3146447084575169,0.08014712674411503,0.4311509220439477,0.07007021350689831,0.4122666444256936,0.8748994070056662,19.415609825201045,3.8626065556649807,1.7723386257235467,1159.4020040016485,0.3117014439771073,0.7421357616944864,14.604021547025507,8.488903824001753,3.8302918350055783,
7,obj8-val9,9,0,25.830112923462988,22.822082810539523,9.669761606022584,6.988659353037223,6.17479927254936,19.476467121493148,5,0,3,52,53,16,36288.0,0.10981591710758377,587.567648309712,3985,1029.6635693865073,6152.0,4389.170066666666,0.007713652047773496,0.19758503690914495,0.021240356354786636,0.2769410064987083,0.035766964411215046,0.3294790787804249,0.7927014376245849,18.173082182555778,2.4937953076895925,1.572475421354,2570.8035264619098,0.22855408523511597,NaN,NaN,NaN,NaN,
8,obj9-val10,10,0,66.88789237668162,77.58675405312177,8.785443256295274,18.097353892658564,20.992064416900458,17.69530663738464,41,54,4,95,99,15,30360.0,0.09548748353096179,427.4425627226738,2899,788.613102927538,5076.0,3562.3604,0.007267481985177842,0.1936995897243968,0.021024963032602022,0.27600169357902377,0.0421323746562999,0.347967837581094,0.7615869783939164,15.9345018395858,2.3641619839731107,1.5938665352570134,1902.381652296295,0.22468812302028018,NaN,NaN,NaN,NaN,
9,obj10-val11,11,0,29.517561298873424,46.29655400927767,9.56593770709079,7.986344522049604,12.526110363862612,19.26734896156758,0,18,4,46,71,15,30456.0,0.09909377462568952,444.9884975153603,3018,784.7088456928288,4984.0,3564.9974,0.008320640212923152,0.20263740152621298,0.02273595452764506,0.28329423101233003,0.04634728503791413,0.3592045900467934,0.7786430858279216,18.16294914446422,3.358796820394181,1.2397021992200545,1794.5801119436132,0.24796245904754688,NaN,NaN,NaN,NaN,
