Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,25.4182147711826,45.097417308563664,3.92161304938831,5.924995931508252,10.512225838051558,7.898764285156619,13,33,0,39,54,9,5940.0,0.3715488215488216,241.53650117730874,2207,378.3006089385747,1736.0,1238.2390333333333,0.10529503111557124,0.47221120152578794,0.2901640263736332,0.6620353652985477,0.12187280146419452,0.4957954872201066,0.9411918369642882,13.076753809646648,4.793986409807376,1.3300271949098705,306.4321389033939,0.7882218296085967,0.9284251634507198,10.549239162313611,6.656604323028015,2.4990893363880264,
1,obj2-val2,2,0,62.12644281217209,53.74554039874082,12.477833158447009,14.481698428267455,12.528106755958298,25.132378352182776,33,27,0,95,84,23,87696.0,0.08693669038496625,834.3789238676039,7624,1216.1281651692525,7360.0,5404.735266666667,0.016488635050827285,0.25452405256260136,0.041638480234690196,0.34660244601965007,0.04377649476301392,0.35243641989922175,0.8840206191543208,30.316627180286645,4.118205885183263,2.04722006668249,3361.6353153695577,0.2482062584399871,NaN,NaN,NaN,NaN,
2,obj3-val3,3,0,52.40741388354608,33.341318412309846,11.837908725301626,12.21618893522445,7.771874528655813,23.843466826728662,24,10,0,83,60,23,73440.0,0.07787309368191721,625.8936339977475,5719,1048.3680935681741,6198.0,4392.973366666667,0.015535951287355874,0.2495245148340448,0.04363317900358557,0.35205102943575994,0.03845139116841814,0.33752386905970305,0.8679065464743143,32.15693313029774,5.435688971802722,1.9187904161834355,2456.8334581176546,0.25475623181934637,NaN,NaN,NaN,NaN,
3,obj4-val4,4,0,27.11108657243816,17.466651943462896,10.263030035335689,6.319605018940145,4.071483486693091,20.671405893359037,4,4,0,43,48,23,43200.0,0.10481481481481482,495.54928741769544,4528,860.4140408652391,4374.0,3052.7607,0.027709511767087757,0.3026054951876827,0.08150550140115988,0.4335730782376611,0.04360171970241262,0.3519667676204489,0.8929783588937229,32.348682995889504,7.840336570092346,2.1418558520582183,1076.9579535619966,0.46013800796835697,1.0406095279026037,25.995576613390845,13.202646364314251,8.143125304549539,
4,obj5-val5,5,0,80.20615384615385,18.49923076923077,10.168461538461539,18.6960862317978,4.312178019991802,20.480929613266333,42,0,0,111,33,23,57120.0,0.06827731092436974,426.8202784737218,3900,818.0871959996808,4680.0,3397.0951333333337,0.016782012038407016,0.2560247404177064,0.04387917565626035,0.3527113918235823,0.03763081953143564,0.3351056114871321,0.8542718412091257,34.28446347985805,5.599370469177362,2.5325223265752,2125.9300607050272,0.20076873005510557,NaN,NaN,NaN,NaN,
5,obj6-val8,8,0,34.932159502848265,68.46996374935267,4.560072501294666,8.14270021700441,15.960375671440488,9.184725100955415,19,53,0,52,94,14,21420.0,0.18029878618113912,422.66151678602915,3862,585.8385534435326,2866.0,2087.0457,0.07165530586648218,0.41535218517557243,0.18555857796402306,0.5703748206346521,0.1004856258226339,0.4649093849139682,0.9359729406431012,18.329366531201604,5.077023426946502,1.1921808246615677,839.4029451647827,0.5035263686179428,1.282319895247217,19.9238213825923,8.924477305599712,4.541163134866211,
6,obj7-val10,10,0,60.08099603228896,61.169927486660285,12.494595703926667,14.00490397365988,14.258734327007756,25.166140835603645,33,38,2,84,84,23,53768.0,0.1359358726380003,799.9049782985725,7309,1179.607233020161,7238.0,5266.179433333334,0.01593355049097902,0.25163523507936,0.041369601672843016,0.34585477793293534,0.04408764410735739,0.35326945037094504,0.8803135631915531,29.652885939087913,5.616402108478826,1.575892015931473,2197.083925040918,0.36407575021681304,NaN,NaN,NaN,NaN,
7,obj8-val11,11,0,85.97075343792369,49.234747239976755,12.61747046290916,20.0398166800405,11.476639083891378,25.413630515379555,67,9,2,109,91,23,78518.0,0.06575562291449094,565.044384040981,5163,949.1532751504055,5564.0,4039.6316,0.01750230547913133,0.25963645583503303,0.04573317374201322,0.357610652475916,0.04222877148717255,0.3482330130304162,0.8707699664335282,32.334828852557244,7.050860348289129,1.2548640601166143,2269.966148811125,0.24892194288312097,NaN,NaN,NaN,NaN,
8,obj9-val12,12,0,16.234646581691774,30.646581691772884,5.74739281575898,3.7843025488576743,7.143730331693213,11.576180651725391,7,19,2,27,42,9,4032.0,0.4280753968253968,188.89533349888302,1726,297.97774815516635,1358.0,976.3312666666667,0.13453480276919677,0.5124032069589252,0.362028168521026,0.7127120819907593,0.15252580659358558,0.5342953350096358,0.9478895861406564,10.68531866000837,4.5267405826821365,1.1326819982493237,220.17692963112302,0.8579251868729021,1.5668999173943223,8.047106072979814,5.9340762743932505,1.9123278421701304,
9,obj10-val13,13,0,94.60626621432847,37.093793653961285,12.319497106365995,22.052758128811856,8.64657799386836,24.813463880642733,76,19,2,111,52,23,26928.0,0.1860888294711824,548.4093372902103,5011,868.9262582559256,4332.0,3160.914366666667,0.034932996075483023,0.32689812577235144,0.08992138507227208,0.44800995319662495,0.051845765378116505,0.3728820908644106,0.9090389769060313,30.042718765574918,7.4642284014230755,1.597068663255845,1276.4765959026938,0.42962741271600696,NaN,NaN,NaN,NaN,
