Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,62.81066112841814,125.11918772354909,8.659513095650167,10.344296447587304,20.605896289605152,17.44166288344957,23,99,0,109,144,19,80040.0,0.10828335832083957,473.4764667735431,8667,829.7099665899735,8580.0,6283.088833333334,0.013450180205147351,0.23781723462998183,0.03425077213713531,0.324755704816036,0.044388477467630666,0.35407114375493154,0.8777371999235526,28.847791368947423,4.138201366370869,3.2577136322006615,1802.5617404162742,0.2626686543697532,NaN,NaN,NaN,NaN,
1,obj2-val2,2,0,60.755568340593406,65.15887235966137,9.995150817785815,10.005842932807479,10.731023679256959,20.131853732125617,20,12,0,99,123,20,188160.0,0.06466305272108844,664.680762805319,12167,1139.1442687525046,15564.0,11772.822966666665,0.004440743851569859,0.16436879017504238,0.010260713217095326,0.2172997282187511,0.033802000529308734,0.3233314563571745,0.82256401443547,31.558854834529754,5.8193987892209,1.212587126200943,3206.1445845184053,0.20731465636792565,NaN,NaN,NaN,NaN,
2,obj3-val3,3,0,62.11658653846154,109.68255876068376,6.584668803418803,10.22998920760189,18.063635735830392,13.26259019414014,28,80,0,98,141,15,70432.0,0.10631531122217174,409.0679339102678,7488,689.0752179273306,7550.0,5726.2594,0.014734764193020198,0.24515928188905559,0.03377310512260451,0.3232389325752848,0.057842007129954326,0.3867362343054648,0.8767690200347769,19.58191479943178,4.427364687978979,1.6343748167301486,981.7746233064267,0.41666175128117106,0.8383962352169566,18.117373438183765,8.620924450718295,4.685973646938892,
3,obj4-val4,4,0,70.90499922130509,15.13346830711727,10.002491823703473,11.67735410492723,2.4923329835507935,20.146639707852763,24,0,0,96,36,20,56721.0,0.11320322279226389,350.77793852000923,6421,651.0018175876768,5450.0,3975.0068333333334,0.028805021682094173,0.3065419499440705,0.07424104470552054,0.4202890012169999,0.05043944660211736,0.3694796612362675,0.9073546650718888,28.789942986441787,8.953250157086542,1.288426658039538,967.809459378062,0.36244524696568653,0.027443359142738034,21.598447844713725,11.921642901978105,6.889597710436222,
4,obj5-val5,5,0,85.6524161160772,43.14561471693224,7.35328410415857,14.106108228113166,7.10565724078015,14.810705984772556,54,18,0,116,74,15,57456.0,0.13434628237259816,421.687417448365,7719,680.7604752414778,5806.0,4345.309866666667,0.03443050247795106,0.3253231294106854,0.08213196251156027,0.43468107598388117,0.0637456655810405,0.39946979974598484,0.9212533050310592,20.784633358579274,5.368533868777695,1.7744254522380516,735.4388007771231,0.5733820638818302,1.4142480019193855,16.285049689622824,8.672828867100884,4.765872766569112,
5,obj6-val6,6,0,29.640133460438513,87.50655386081984,9.461272640610105,4.881437669219284,14.411466429120878,19.05653655386455,0,44,0,75,143,19,152000.0,0.055210526315789474,458.4532720853321,8392,796.3195242778569,9550.0,6810.620633333334,0.009144778887297993,0.20911816016505672,0.02521292630744391,0.29322956187890936,0.047073927602020636,0.3610720907938657,0.8522748627974824,29.894760895042737,7.305118456028751,1.2904313662127305,1625.1161437925773,0.2821049275994683,NaN,NaN,NaN,NaN,
6,obj7-val7,7,0,65.11561016475845,60.885786093270035,2.738620497067858,10.723898822409263,10.027288512462684,5.516025548775538,30,30,0,111,91,6,35588.0,0.10062380577722828,195.62930973993977,3581,379.85885763260063,5650.0,4153.885266666666,0.008041103868656354,0.20034226936189117,0.020234735179952397,0.27249958277276365,0.07896841933617724,0.42902722194221254,0.788582156847414,10.465942668965727,2.43595690995169,1.3333191731594336,606.9463646383961,0.3223172938130884,NaN,NaN,NaN,NaN,
7,obj8-val8,8,0,30.300183739090492,81.42083907517991,10.289312509569744,4.990141440681411,13.409209221392773,20.724343056253748,0,48,0,67,111,20,91392.0,0.14292279411764705,713.5744327905875,13062,1085.700384718186,11662.0,9013.328966666668,0.012166134714474952,0.22999488555915207,0.02635215072633212,0.297581107189597,0.04499880288199683,0.35568654400668936,0.8889428271595174,30.591735888893364,6.298426304582371,1.487851959489106,2031.7820812705586,0.35120618464375836,NaN,NaN,NaN,NaN,
8,obj9-val9,9,0,82.21974862400394,58.398915632958186,8.833566088885238,13.540781745218746,9.617725473226107,17.7922338218302,38,6,0,134,87,20,167034.0,0.07287737825831866,665.0085415985163,12173,1090.9958449624762,11992.0,9110.499733333332,0.009717907434312348,0.21339861190194875,0.022162615822579987,0.2808926267603005,0.038515676543915085,0.33771186179201296,0.8737964003295717,29.305174480795223,3.794376381021147,1.772586298635803,4130.791910778334,0.1609881485105392,NaN,NaN,NaN,NaN,
9,obj10-val10,10,0,28.675144941088462,47.309519356648586,6.104357583691789,4.722513576822508,7.791411270412904,12.295165550158115,1,25,0,60,69,12,35100.0,0.15233618233618235,292.1055345376872,5347,528.6983076037264,5298.0,3824.267,0.021743871847335998,0.27911264616327547,0.05781334847309968,0.38667198506141753,0.06529924864266963,0.4026890216274997,0.8854996556754423,17.31265938008989,3.750963831826479,1.803638394738565,856.5342168688068,0.34103195037032397,NaN,NaN,NaN,NaN,
