Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,59.395002567174394,134.3850761595071,6.101317816190313,9.999163731425183,22.623761621345448,12.289042965733426,31,105,0,79,149,13,30870.0,0.18927761580822805,333.54762280936995,5843,583.1040177425574,5904.0,4400.225,0.01876225782639566,0.26572287466633693,0.04532100100971176,0.35653308020833036,0.06346436974944512,0.39888134263590397,0.8804780939713225,16.87166763487141,4.188277855715086,1.4649729098536501,782.8202602911007,0.4260845557131294,0.22420857466136646,14.307720608757895,6.637549694645414,3.9602422150212555,
1,obj2-val2,2,0,81.2645514722666,150.7018945446245,6.239671307920566,13.680907830806413,25.37070213076278,12.567709322011511,39,125,0,101,174,13,44100.0,0.09934240362811791,250.08936086391404,4381,484.12125992299855,4714.0,3473.7567,0.020721927278292206,0.27466960920750944,0.05178460733944731,0.37273504638088123,0.06234194421190625,0.3965158168251096,0.8740839485110061,19.48776082180633,4.6117286296663,1.7923686825660694,813.2415800108203,0.30752161105754894,NaN,NaN,NaN,NaN,
2,obj3-val3,3,0,38.169212079139186,65.64213814647692,6.287053106560222,6.425796524668142,11.05087058907217,12.663143943976515,21,48,0,67,89,13,27636.0,0.20849616442321608,328.9237382556203,5762,531.0989685320257,4398.0,3309.8421,0.04414008918071757,0.35340947359435637,0.10355642618287111,0.4695974010970887,0.08168013265813397,0.43388287321608837,0.9243469520373092,17.773258233876465,5.839700393713218,1.1586992461812837,595.1656859163038,0.5526591099572831,0.6579570564100262,13.715234891831116,7.874113952032028,4.090312876785609,
3,obj4-val4,4,0,53.50319785434289,161.43098824014854,6.235609655456984,9.007276915180748,27.176947772894252,12.559528495648987,37,143,0,67,175,13,14322.0,0.3384303868174836,276.69096829659696,4847,452.3214833017051,2978.0,2141.8994000000002,0.10060610434983501,0.4650951135398032,0.2703965868850447,0.6466467042495687,0.09356225788803031,0.4539770595724713,0.9539692865770318,18.203928849303583,8.120959164446026,1.1624214490994407,329.61404420334463,0.8394392567990868,1.3854601894613152,13.949677363366352,9.074052614124223,4.297040584373451,
4,obj5-val5,5,0,40.50715563506261,17.3716457960644,2.37567084078712,6.819389914685582,2.9245209713177296,4.784986115196712,26,4,0,53,33,5,5040.0,0.44365079365079363,127.64204768128552,2236,225.081853086901,1736.0,1293.6942000000001,0.10808036666470201,0.4763387637605267,0.2611566437428743,0.6391954765040218,0.161591477826336,0.544677892156432,0.9426930422079175,7.363442107233985,3.229057228697822,1.1178441188818382,143.48235214831357,0.8896010259808511,1.472290051833307,5.848272023875005,4.215552363072252,1.1729159050439018,
5,obj6-val6,6,0,90.56595050312755,49.68139787870547,6.413924394887136,15.246800714398939,8.363875920931521,12.918683281597994,56,23,0,115,85,13,52920.0,0.13896447467876039,419.8030494848719,7354,673.8229033970941,6320.0,4762.041266666667,0.024229719678910626,0.2893676662892088,0.05663959780740276,0.38403728164370393,0.06514877371681856,0.4023794665380746,0.9032133816866406,17.192449545656302,3.6764979780672116,1.543688337830243,1020.1724178935227,0.4115020580067158,0.8386239906335544,14.191609618199093,7.148354365124427,3.763585882908085,
6,obj7-val7,7,0,70.43623653882486,61.531834498394105,4.234460608350652,11.857958268131256,10.358899928466984,8.528889974333326,34,46,0,97,88,10,30272.0,0.17484804439746301,302.1508758394652,5293,506.8897674445881,5320.0,3994.289766666667,0.02104365942935333,0.27608383595096436,0.04972072566131666,0.36771596521096905,0.07927924684680487,0.42958938231255056,0.8831594859250012,14.313724097455136,4.418344420541789,1.2862629017693332,489.2126011891272,0.6176269276486914,1.1891789568074347,13.179198800516412,6.673056490163677,3.0712225945117573,
7,obj8-val8,8,0,36.52915143351934,92.22840100057725,4.988262459111025,6.149691899426774,15.526674676868902,10.047169075786162,16,73,0,60,109,11,19980.0,0.2601101101101101,296.67071636835453,5197,465.83659176529886,3718.0,2771.1667333333335,0.05943327343997921,0.3902506414595337,0.14353897364872656,0.5235883146966142,0.09846931915836006,0.46177878912731324,0.9347281654868792,16.250428658299796,6.536299344847381,1.0991203409032768,382.8017725332829,0.7749982828059145,0.6947845996009885,12.774020015469516,7.724352169604492,3.3270578795520387,
8,obj9-val9,9,0,14.503846953628614,121.55188188812643,6.306924516531503,2.4417263095635593,20.46329011414087,12.703168184359269,0,92,0,32,151,13,27720.0,0.1734848484848485,274.52173850594903,4809,500.7574987234231,4380.0,3192.218333333333,0.03112716702739809,0.3145673914597763,0.08040520530190155,0.4316132034879628,0.06787712985636422,0.40791988777316973,0.9016171945261244,19.89842523969693,4.607399347104451,2.328429151016649,667.6824647201149,0.41115613036359355,NaN,NaN,NaN,NaN,
9,obj10-val10,10,0,63.55546854607152,109.60950143565648,6.61419994779431,10.699579233132866,18.452787339060354,13.322070705234788,37,83,0,94,132,13,40600.0,0.1887192118226601,437.38522778801854,7662,651.8866124075653,6160.0,4681.005666666667,0.028404982906360426,0.3051162651328246,0.06473202126793225,0.4015192665751948,0.07810240535129966,0.427453133933183,0.9122805291065769,17.64776059583808,4.100313465014244,1.5605424036292732,877.5011740870327,0.4984440371183339,0.7893679050406882,14.346556485186461,7.8759779407290464,3.9000662071087095,
10,obj11-val11,11,0,76.26947463768116,32.57223731884058,2.43455615942029,12.83998538007362,5.483544405635319,4.903590690885866,55,14,0,101,59,5,12972.0,0.3404255319148936,252.0873356710898,4416,336.7152271676558,3482.0,2644.0216333333337,0.05224253021419691,0.3738308700493512,0.11932061695740091,0.49230981785904315,0.1882635134768867,0.5731332812740269,0.924962560402967,7.705851674191911,2.4337931716273973,1.1439937263281388,282.85218923541686,0.891233461379641,1.9259140538888952,7.819103981591925,4.488309651714471,1.3691453562327454,
11,obj12-val12,12,0,88.0727079538555,119.45309653916212,6.2765634486945965,14.827062699502289,20.10995906886184,12.64201607290177,64,88,0,109,146,13,37996.0,0.17338667228129276,376.07594370496827,6588,623.2436170721913,6180.0,4759.171,0.020796685738735124,0.27499952080867374,0.04553712688391542,0.3570989242811556,0.06607390327591497,0.4042751507590587,0.8911946407176633,18.394928014844375,3.359727572162343,1.7314628175899136,1334.0176305383013,0.28191227394289725,NaN,NaN,NaN,NaN,
12,obj13-val13,13,0,98.27463863337714,97.04242538013891,7.661160127651586,16.544560314319543,16.337116900924176,15.430818195741965,74,64,2,123,118,13,33000.0,0.16142424242424241,304.09176565215023,5327,509.5335574244921,5194.0,3883.9503666666665,0.02290403143937469,0.2839909651926948,0.05477681200984723,0.3797801406163099,0.07905754417470652,0.4291885630962987,0.8883606199270112,13.556067225178516,3.3822399710702484,1.2311870932000926,740.8953007508856,0.4104382432227038,0.8859440442051076,11.993938658827535,6.156802057404226,3.143328929961453,
13,obj14-val14,14,0,6.683847549909256,93.17676950998185,6.487840290381126,1.1252274285507646,15.68633275572056,13.067561875197217,0,68,2,16,123,11,9520.0,0.28939075630252103,157.26915982197744,2755,311.23987580756165,2320.0,1722.132,0.0687434976529717,0.409648085307822,0.16807234894036813,0.5518640323374706,0.09277988005768992,0.45270811528254695,0.9256810826556261,13.238862845067542,4.46931726105538,2.001418319323101,243.1198373507361,0.6468791750427735,NaN,NaN,NaN,NaN,
14,obj15-val15,15,0,97.07106523040096,71.7009275882705,7.277678037103531,16.341938426972433,12.07086932674722,14.658423111711265,63,40,2,122,106,13,48240.0,0.13855721393034826,381.55610317607886,6684,601.6759037125668,6340.0,4769.467633333333,0.019827021715890042,0.2706572895479275,0.046570997286987395,0.35978123871511525,0.07559295558528939,0.42282515412415567,0.8891112439881034,16.520926964098106,3.972892357237848,1.482931850680199,806.969335699912,0.4728260248515419,0.5616777134743691,12.400139484765358,7.1810380759631025,3.5179004590860576,
15,obj16-val16,16,0,61.236978268368404,18.764401517764746,9.340807174887892,10.3092608074328,3.1589917499562286,18.81389958120612,49,5,5,79,33,13,8091.0,0.3582993449511803,165.48939902864342,2899,303.9541313328691,2348.0,1715.9606666666668,0.07342678727453196,0.41874717181391213,0.1881164688828977,0.5729837068170066,0.11029823911847011,0.4795749742823082,0.9302514756384856,11.179573109258957,4.77906415206742,1.1952961583732584,214.38924992551975,0.7719109007850699,0.8374107561215917,8.953321687580361,5.412704058398723,2.5076981018357576,
16,obj17-val17,17,0,36.307182556648144,38.579521162890124,8.355066267635742,6.112323382764022,6.4948721628799015,16.828457627968117,14,26,4,61,55,13,14400.0,0.3248611111111111,267.0436042276626,4678,429.219512586017,3654.0,2704.5145666666667,0.05073027065457796,0.37018841607295194,0.1251136901864941,0.5001515409813473,0.10199487833409879,0.4672254079406556,0.9251321072418626,12.74225631485252,4.279171640396524,1.3810529710443227,342.6871728902497,0.7792634955530916,1.2970933596648881,10.037847686959857,6.284137601615317,2.8145393352092536,
17,obj18-val18,18,0,13.49121744397335,58.29012719563901,8.437007874015748,2.271249875037538,9.813157682678797,16.99350130407576,1,35,4,29,85,13,14790.0,0.22325895875591617,188.49465180840997,3302,351.8593860029284,2898.0,2159.8409,0.050665387421821986,0.37003052714327644,0.12238867368874473,0.49649370079261324,0.09224503855788756,0.45183654126547873,0.9151835974771909,11.838803870219463,3.6334364485059285,1.7893198107700947,294.2313593461696,0.6406341330416855,0.9230746401597598,9.570721722183178,5.2809854794559055,2.721388323650455,
18,obj19-val19,19,0,35.16728902165795,123.66367936270849,8.80856360468011,5.920422017327273,20.818811754064605,17.741874766310822,15,99,4,54,147,13,19600.0,0.20494897959183672,229.31042286928616,4017,415.3444989876209,3910.0,2900.2336,0.030529926921073414,0.31254250836491193,0.07480955957673259,0.42135908861072763,0.08299932784672934,0.4362062515346767,0.8940124968171733,13.879515475312859,4.787123119181148,1.1904043543054614,410.55165133257356,0.55854220078031,0.49676218417198753,10.355576886935747,6.5460059510701845,2.535893165799301,
19,obj20-val20,20,0,75.5505018150758,69.84860132393764,8.535767670296819,12.718946123217874,11.7590297308126,17.192419540487673,56,46,4,100,97,13,23400.0,0.20012820512820512,267.3290292001163,4683,451.53075144840517,4814.0,3620.6023333333333,0.022232199514986752,0.2811866480968377,0.052258652616402,0.3738689538124973,0.08779759432282423,0.4444550968893565,0.8813504504837316,12.366496624407114,3.7575907822447236,1.072750744782657,523.0110319277869,0.5111345896753988,1.0292293249388498,9.776957761685795,5.848102876016029,2.4269175209070837,
