Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,64.66563403552252,49.95890128046262,7.7598099958694755,16.329693193546195,12.615874604252225,15.62951501921781,37,33,0,98,68,16,37944.0,0.12760910815939278,621.910901995462,4842,969.4696172707754,5534.0,4075.468566666667,0.015645321040605637,0.2501086785488735,0.039171418620386374,0.3396172700825143,0.048007169895464614,0.36344258074702934,0.8603701557254056,22.567996527319135,4.918447370490246,1.150384004069881,1730.0900782165238,0.3594673536516454,0.6928775607732562,17.06591762499727,9.59283495920985,4.564717421587035,
1,obj2-val2,2,0,78.45498181818182,39.403054545454545,9.109527272727274,19.81184908652388,9.95025876128239,18.34806437307773,61,16,0,98,56,20,32718.0,0.21012898098905802,883.0312786490709,6875,1118.5829702235687,5054.0,3606.177533333333,0.04140874475584407,0.3459641910338718,0.11398730042660275,0.4848627527142363,0.06300861577073134,0.39792422561308693,0.9261876619166849,25.64142903393791,6.767146553661461,1.1184402668752986,1378.7683511465887,0.6404493386541249,1.7456993504384097,22.557326755102007,11.613024961101017,5.77775954845198,
2,obj3-val3,3,0,100.11359404096834,70.37352576039727,10.164183736809434,25.28119146398837,17.771078900798123,20.47231342740529,67,18,1,125,102,19,95285.0,0.06762869286876214,827.6732450348528,6444,1289.3530522456551,7718.0,5673.012566666667,0.010215252694840088,0.21697866610098815,0.02572303449665695,0.29519391443409126,0.03614553428555059,0.3306374403742902,0.8458363371004163,26.92563565276879,4.625486520322098,1.1949804936811017,3198.2383530381503,0.2587903569627976,NaN,NaN,NaN,NaN,
3,obj4-val4,4,0,62.529653114509514,26.012681835136142,9.305856023871689,15.790304480706078,6.568854072872203,18.743502298278127,44,11,4,81,48,14,15884.0,0.16878619994963484,344.3500884448232,2681,569.0956729945021,3190.0,2247.6527666666666,0.0250422849088656,0.29256689631079535,0.07159098600028634,0.4152275057796595,0.07276070870757026,0.41747712714023594,0.8638759299922031,14.519814336988935,2.928321747327473,1.448973559923184,1031.9858227375173,0.3336771502648905,0.6273972670773834,12.518403291817197,7.148660766295264,3.370219834531884,
4,obj5-val5,5,0,47.681167108753314,51.93191865605659,12.814323607427056,12.040689643102118,13.114110937809034,25.8101246538263,22,31,4,78,72,21,43092.0,0.13123085491506545,726.3333644742539,5655,1020.5512862976593,6056.0,4481.7686,0.01628395871026871,0.253466514986919,0.04017624126162934,0.34249673397813885,0.05613320744557926,0.3828897171063596,0.8703679728679924,24.055159406603753,5.455637931982434,1.132585865725257,1729.621549667237,0.41993773991425676,1.2401923940161954,18.962885195882947,11.173013515309357,5.121926590964845,
5,obj6-val6,6,0,18.730682670667665,74.13259564891223,12.884846211552889,4.72996678807255,18.72033825451956,25.952168608635215,0,50,6,49,99,20,37500.0,0.14218666666666666,684.8469494919049,5332,1006.8656438145637,6246.0,4556.863633333333,0.013195526258768584,0.236306788651428,0.033980875035913474,0.32390042612776093,0.05196666640311769,0.37317171133308885,0.853625634151809,20.98376690045116,3.39051712077749,1.8603540381869696,1809.7203206610868,0.3784269545261733,NaN,NaN,NaN,NaN,
6,obj7-val7,7,0,86.15890410958905,24.505479452054793,11.994977168949772,21.757282534783194,6.1882476988160855,24.159828129434604,67,0,7,108,43,16,18480.0,0.1185064935064935,281.28560003512223,2190,526.197771912489,2894.0,2006.1492333333333,0.022379223974660703,0.2818051275411076,0.06718168536590116,0.40652160499036666,0.06141866303619541,0.3945486151734958,0.8448111033506607,13.022960916411439,2.6601981859261024,1.2740108036058373,1026.1638304682017,0.27411373475011463,0.1341868372089478,11.00053099682099,6.419762923244556,2.4006479571065675,
7,obj8-val9,9,0,47.926540284360186,32.17203791469194,10.045971563981043,12.102652519293594,8.12424584392788,20.234214951842205,27,20,7,68,48,14,9744.0,0.21654351395730706,271.0103269744785,2110,424.66352345178694,2404.0,1787.9583333333333,0.03624214503978159,0.3309317568912138,0.0880937510608462,0.44495391697323994,0.10846488932655556,0.47690299228888666,0.8786125872969903,11.329918670674799,3.028062467378973,1.2839023140959298,517.4963884158025,0.5236951079100571,NaN,NaN,NaN,NaN,
8,obj9-val10,10,0,29.03644251626898,47.52234273318872,11.190889370932755,7.332429423985028,12.000582507939697,22.540264980006153,13,30,7,39,76,16,12690.0,0.18163908589440506,296.0563050597976,2305,489.6767614847968,2698.0,1909.179133333333,0.0305962638116723,0.3127687135022531,0.08634838034331574,0.44199572135269033,0.08442528198982958,0.4386901310755262,0.8708416572679993,12.922346226982091,2.3257987660662884,2.6522319641543035,630.0237630265007,0.46991291826455217,0.920394219280545,10.346806622420122,6.424129211084104,2.5377464099807923,
9,obj10-val11,11,0,114.38110928061505,56.31191652937946,11.545304777594728,28.88409662331444,14.220170168906302,23.25411505164632,100,30,9,125,76,14,7332.0,0.2483633387888707,233.890903042903,1821,406.556753325303,2720.0,1975.2221333333334,0.018636551464510404,0.26512810081522853,0.048665863622150744,0.36509689958017655,0.09206943885226147,0.45154965073714537,0.8180418508195015,8.376778858048766,1.8194840623907311,1.4478675975600812,513.6820368752719,0.4553223322070234,NaN,NaN,NaN,NaN,
