Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,41.22185769940537,96.910805823252,6.616772606110314,9.60883135801852,22.589947224497365,13.32725245605223,20,74,1,64,132,13,34515.0,0.14130088367376503,533.7442302862413,4877,775.0704525708478,5554.0,4110.0681,0.015701467999053084,0.25040751256299976,0.038744568747442955,0.3383791619005344,0.06919826689404483,0.4105494353169987,0.8609669488489605,18.23948776848577,3.3820472495072655,1.4942602538134584,1487.1025377040537,0.35891555340245207,1.0023779347254271,14.360751192783964,8.411035536619353,3.570549193744199,
1,obj2-val2,2,0,60.92313377679231,121.0519832471052,6.738605567873861,14.201206615480691,28.217265244499053,13.572643787377705,29,99,1,91,133,12,26460.0,0.15340136054421769,444.22141290380426,4059,726.4289991443828,5484.0,4008.0246666666667,0.011297910701138935,0.2243882069734995,0.028940052799659072,0.30701983906869434,0.058219950629509916,0.38757672554620093,0.8266430884819665,17.637519239828073,2.5932819103095976,2.1616460511432245,1580.9460307968984,0.28098455244540393,0.5269348917495064,12.953134493610582,8.535391141783853,3.1100658897584723,
2,obj3-val4,4,0,60.32872975277068,93.59113384484229,6.008695652173913,14.062650802033355,21.816130371383082,12.102486915472229,42,73,0,83,116,13,25872.0,0.22669294990723562,641.8720341662508,5865,871.4481532862667,5876.0,4338.8597,0.019175338754835028,0.2676588375169002,0.047627916649410657,0.3624826256263395,0.0704084234976547,0.4129288793311587,0.8819244830122469,17.73216145360879,3.352669990557307,1.3344709068807092,1556.9795004846233,0.4122546468765084,0.12353888749156332,15.24879912715466,8.49836743439319,4.151669915423595,
3,obj4-val5,5,0,67.14153231559423,63.24240262519618,7.226993865030675,15.650717778029739,14.741829102723425,14.556336974412673,46,44,0,92,83,13,26320.0,0.26629939209726444,767.0726491852092,7009,870.6999728243846,5144.0,3910.0461333333337,0.04081892976074603,0.3443137245393393,0.09294346277494038,0.4529736607266128,0.1008137515491088,0.4654148729123294,0.9260714699659874,18.84749126091214,3.81278196539929,1.4023020774617012,1375.6999481992011,0.5575871760330525,0.4618605924437342,15.265168289058606,8.650245977256242,3.837375920475626,
4,obj5-val6,6,0,148.6831172887709,68.8431985007028,6.272684679056693,34.65809353451084,16.047376839821286,12.63420360219128,114,26,0,166,106,13,60102.0,0.10653555622109082,700.7513443762156,6403,924.606323662035,5968.0,4469.027433333334,0.021813880703222998,0.27941187841998394,0.05194937360538966,0.37312994584844994,0.07026024737612253,0.41263900344986365,0.8927319575472711,18.69710020389436,2.8314788182469792,1.4896153938452021,2292.506463887203,0.3056703897741744,0.8001132534693799,16.10939271355296,9.75310829929243,3.536764535356241,
5,obj6-val7,7,0,42.08593493263227,40.15116661189616,6.129148866250411,9.810248103351185,9.35925284141135,12.345099211330476,16,18,0,75,70,13,44520.0,0.1367026055705301,666.0585166130951,6086,842.9794038066676,5566.0,4249.814166666667,0.024293308400135587,0.28962058472031815,0.05457659663400663,0.37931686274605714,0.08375799134228033,0.4375312831792714,0.8966866981604028,19.944717012112594,3.6302785271824756,1.3262311903264514,1901.3982632720854,0.3502993189164304,NaN,NaN,NaN,NaN,
6,obj7-val8,8,0,54.737341090282264,17.861883214824392,5.593406593406593,12.759295890016304,4.163612052601527,11.26602744226661,17,3,0,84,34,12,28288.0,0.1640625,507.91613138372895,4641,759.0039562591104,5350.0,4083.5741666666663,0.015907948056557764,0.2515003849949145,0.03577290153064858,0.3294969425215715,0.06672740981407858,0.40560361236016285,0.8593933215756248,21.717573892887568,4.15029722584188,1.5194893264319056,1639.3302684986752,0.3098314849324942,NaN,NaN,NaN,NaN,
7,obj8-val10,10,0,113.69694494363667,108.8127756902467,7.004737787943147,26.502802902574683,25.364301114953392,14.108677212536929,83,67,0,141,132,13,54516.0,0.11227896397387922,669.8889550096542,6121,949.7633644502935,6920.0,4998.874766666666,0.0127872998500422,0.2338443677053032,0.03392191503471745,0.32371298515028113,0.05923955232856685,0.38982617664655245,0.8585098555003559,20.08213416721253,3.571331465887647,1.3648290565913774,1948.8553268186959,0.3437345737218875,0.24975622409859882,17.602238181333647,10.009504048412907,3.6631557016143486,
8,obj9-val11,11,0,63.12999071494893,29.297493036211698,7.752646239554317,14.715625841917591,6.8292572316977616,15.615086052918198,41,0,1,96,56,13,41496.0,0.12977154424522847,589.3403075848697,5385,829.1708338277198,5862.0,4228.9395,0.016281197569615283,0.2534521880948022,0.04336400366454495,0.35132559529840857,0.06890529752776398,0.40996922602892233,0.8680968257893916,15.320566775910477,1.8196030198430875,2.3411811185352116,1943.232536939206,0.30327832432918306,0.5423561921166403,15.392112329597516,8.744318840171518,3.430034189600065,
9,obj10-val12,12,0,82.02450637165663,83.11244923680157,6.048452597675396,19.119944925755576,19.37354483856319,12.182563847402829,51,55,0,112,107,13,46004.0,0.15522563255369098,781.5188739950892,7141,936.8608648925816,6056.0,4480.6433,0.025966465603011846,0.29612254636883506,0.06411347625611089,0.40023626928148653,0.08400517135411968,0.4379612627154476,0.9056884814781745,18.65566583801168,2.9187251057964225,1.7545955728929459,1819.5225125128043,0.42951866141837003,0.10121154747624304,16.13572295411173,9.051203924942195,4.188331638238045,
